大学英文名称,学位,专业英文名称,所属院系,所属院系（英文）,面试,判定状态,面试newp,判定状态newp
Harvard University,MS,Data Science SEAS,约翰·保尔森工程与应用科学学院,,不需要,投票结果-不需要(3票) vs 需要(0票),不需要,投票结果-不需要(3票) vs 需要(0票)
Harvard University,MS,Data Science,Harvard Extension School,,不需要,投票结果-不需要(3票) vs 需要(0票),不需要,投票结果-不需要(3票) vs 需要(0票)
Stanford University,MS,Data Science,工程学院,,不需要,投票结果-不需要(3票) vs 需要(0票),不需要,投票结果-不需要(3票) vs 需要(0票)
Stanford University,MS,Data Science,人文科学学院,,不需要,投票结果-不需要(2票) vs 需要(0票),需要,投票结果-需要(2票) vs 不需要(1票)
Yale University,MS,Statistics and Data Science,艺术与科学研究生院,,不需要,投票结果-不需要(3票) vs 需要(0票),不需要,投票结果-不需要(3票) vs 需要(0票)
Yale University,PH.D.,Statistics and Data Science,艺术与科学研究生院,,,PhD项目-默认跳过,,PhD项目-默认跳过
University of Pennsylvania,PHD,Statistics and Data Science ,商学院,,,PhD项目-默认跳过,,PhD项目-默认跳过
University of Pennsylvania,MSE,Data Science,工程学院,,不需要,投票结果-不需要(3票) vs 需要(0票),不需要,投票结果-不需要(3票) vs 需要(0票)
Duke University,MS,Electrical and Computer Engineering-Machine Learning & Big Data,工程学院,,不需要,投票结果-不需要(2票) vs 需要(1票),需要,投票结果-需要(3票) vs 不需要(0票)
Duke University,Meng,Electrical and Computer Engineering-Machine Learning & Big Data,工程学院,,不需要,投票结果-不需要(3票) vs 需要(0票),需要,投票结果-需要(3票) vs 不需要(0票)
Duke University,MS,Statistical Science（Data Science & Analytics ）,文理学院,,不需要,投票结果-不需要(3票) vs 需要(0票),不需要,投票结果-不需要(3票) vs 需要(0票)
Duke University,MS,Interdisciplinary Data Science,文理学院,,不需要,投票结果-不需要(3票) vs 需要(0票),需要,投票结果-需要(3票) vs 不需要(0票)
Duke University,MENG,Electrical and Computer Engineering,杜克昆山分校,,不需要,投票结果-不需要(3票) vs 需要(0票),需要,投票结果-需要(3票) vs 不需要(0票)
Brown University,MS,Data Science,研究生院,,不需要,投票结果-不需要(3票) vs 需要(0票),不需要,投票结果-不需要(3票) vs 需要(0票)
Northwestern University,MS,Master of Science in Machine Learning and Data Science,工程与应用科学学院,,不需要,投票结果-不需要(3票) vs 需要(0票),需要,投票结果-需要(3票) vs 不需要(0票)
Northwestern University,MS,Statistics and Data Science,文理学院,,不需要,投票结果-不需要(1票) vs 需要(0票),不需要,投票结果-不需要(3票) vs 需要(0票)
Johns Hopkins University,MSE,Data Science,工程学院,,不需要,投票结果-不需要(3票) vs 需要(0票),不需要,投票结果-不需要(3票) vs 需要(0票)
Johns Hopkins University,MSE,Data Science,工程学院,,不需要,投票结果-不需要(3票) vs 需要(0票),不需要,投票结果-不需要(3票) vs 需要(0票)
Johns Hopkins University,PHD,Applied Mathematics and Statistics,工程学院,,,PhD项目-默认跳过,,PhD项目-默认跳过
Johns Hopkins University,PHD,Applied Mathematics and Statistics,工程学院,,,PhD项目-默认跳过,,PhD项目-默认跳过
Johns Hopkins University,MSEM,Master of Science in Global Innovation and Leadership：Technical Concentrations,工程学院,,不需要,投票结果-不需要(3票) vs 需要(0票),不需要,投票结果-不需要(3票) vs 需要(0票)
Columbia University,MS,Data Science,工程与应用科学研究生学院,,不需要,投票结果-不需要(3票) vs 需要(0票),不需要,投票结果-不需要(3票) vs 需要(0票)
Columbia University,PhD,The PhD specialization in Data Science,工程与应用科学研究生学院,,,PhD项目-默认跳过,,PhD项目-默认跳过
Columbia University,MS,Applied Analytics,School of Professional Studies,,不需要,投票结果-不需要(3票) vs 需要(0票),需要,投票结果-需要(3票) vs 不需要(0票)
Columbia University,MS,Applied Analytics,School of Professional Studies,,不需要,投票结果-不需要(3票) vs 需要(0票),需要,投票结果-需要(3票) vs 不需要(0票)
Cornell University,M.Eng.,Operations Research and Information Engineering ：Data Analytics (DA),工程学院,,需要,投票结果-需要(2票) vs 不需要(0票),不需要,投票结果-不需要(2票) vs 需要(1票)
Cornell University,M.Eng.,Operations Research and Information Engineering ：Data Analytics (DA),工程学院,,需要,投票结果-需要(1票) vs 不需要(0票),不需要,投票结果-不需要(3票) vs 需要(0票)
Cornell University,M.Eng.,Operations Research and Information Engineering (M.Eng.) (Cornell NYC Tech),康奈尔科技学院,,需要,投票结果-需要(3票) vs 不需要(0票),需要,投票结果-需要(3票) vs 不需要(0票)
Cornell University,M.P.S.,Information Science (M.P.S.) , 计算与信息科学学院,,需要,投票结果-需要(3票) vs 不需要(0票),需要,投票结果-需要(3票) vs 不需要(0票)
Cornell University,Ph.D.,Information Science (Ph.D.) , 计算与信息科学学院,,,PhD项目-默认跳过,,PhD项目-默认跳过
Cornell University,M.P.S.,Applied Statistics (Data Science) , 计算与信息科学学院,,不需要,投票结果-不需要(2票) vs 需要(0票),不需要,投票结果-不需要(3票) vs 需要(0票)
Cornell University,M.P.S.,Applied Statistics (Data Science) , 计算与信息科学学院,,不需要,投票结果-不需要(3票) vs 需要(0票),不需要,投票结果-不需要(3票) vs 需要(0票)
University of Chicago,MScA,Applied Data Science,物理科学部,,不需要,投票结果-不需要(3票) vs 需要(0票),需要,投票结果-需要(3票) vs 不需要(0票)
University of Chicago,MS,Data Science ,物理科学部,,不需要,投票结果-不需要(3票) vs 需要(0票),不需要,投票结果-不需要(3票) vs 需要(0票)
University of Chicago,Ph.D,Data Science ,物理科学部,,,PhD项目-默认跳过,,PhD项目-默认跳过
"University of California, Berkeley",M.Eng,Data Science  ,电子工程和计算机科学系,,不需要,投票结果-不需要(3票) vs 需要(0票),需要,投票结果-需要(3票) vs 不需要(0票)
"University of California, Berkeley",MAna,Master of Analytics,工业工程与运筹学系,,不需要,投票结果-不需要(2票) vs 需要(1票),不需要,投票结果-不需要(2票) vs 需要(1票)
"University of California, Los Angeles",MENG,Data Science ,工程与应用科学学院,,不需要,投票结果-不需要(3票) vs 需要(0票),不需要,投票结果-不需要(3票) vs 需要(0票)
"University of California, Los Angeles",M.A.S.D.S,Master of Applied Statistics and Data Science,物理科学学院,,不需要,投票结果-不需要(2票) vs 需要(0票),不需要,投票结果-不需要(3票) vs 需要(0票)
Rice University,MDS,Master of Data Science,工程学院,,不需要,投票结果-不需要(3票) vs 需要(0票),不需要,投票结果-不需要(3票) vs 需要(0票)
Vanderbilt University,MS,Data Science ,文理学院,,不需要,投票结果-不需要(3票) vs 需要(0票),需要,投票结果-需要(2票) vs 不需要(1票)
University of Notre Dame,PHD,PHD IN ANALYTICS,商学院,,,PhD项目-默认跳过,,PhD项目-默认跳过
University of Notre Dame,M.S.,Applied and Computational Mathematics ,理学院,,不需要,投票结果-不需要(3票) vs 需要(0票),不需要,投票结果-不需要(3票) vs 需要(0票)
University of Notre Dame,M.S.,Applied and Computational Mathematics ,理学院,,不需要,投票结果-不需要(3票) vs 需要(0票),不需要,投票结果-不需要(2票) vs 需要(0票)
"University of Michigan, Ann Arbor",MENG,Data Science and Machine Learning,工程学院,,不需要,投票结果-不需要(3票) vs 需要(0票),不需要,投票结果-不需要(3票) vs 需要(0票)
"University of Michigan, Ann Arbor",Ph.D,Industrial and Operations Engineering,工程学院,,,PhD项目-默认跳过,,PhD项目-默认跳过
"University of Michigan, Ann Arbor",MS,Industrial and Operations Engineering,工程学院,,不需要,投票结果-不需要(3票) vs 需要(0票),不需要,投票结果-不需要(3票) vs 需要(0票)
"University of Michigan, Ann Arbor",MSE,Industrial and Operations Engineering,工程学院,,不需要,投票结果-不需要(3票) vs 需要(0票),不需要,投票结果-不需要(3票) vs 需要(0票)
"University of Michigan, Ann Arbor",MS,Industrial and Operations Engineering,工程学院,,不需要,投票结果-不需要(3票) vs 需要(0票),不需要,投票结果-不需要(3票) vs 需要(0票)
"University of Michigan, Ann Arbor",MSE,Industrial and Operations Engineering,工程学院,,不需要,投票结果-不需要(3票) vs 需要(0票),不需要,投票结果-不需要(3票) vs 需要(0票)
"University of Michigan, Ann Arbor",Ph.D,Information,信息学院,,,PhD项目-默认跳过,,PhD项目-默认跳过
"University of Michigan, Ann Arbor",MS,Information,信息学院,,不需要,投票结果-不需要(2票) vs 需要(1票),不需要,投票结果-不需要(3票) vs 需要(0票)
"University of Michigan, Ann Arbor",MS,Data Science ,文化、科学与艺术学院,,不需要,投票结果-不需要(3票) vs 需要(0票),不需要,投票结果-不需要(2票) vs 需要(0票)
"University of North Carolina, Chapel Hill",MS,"MS program in Statistics, Analytics and Data Science (STANDS)",文理学院,,不需要,投票结果-不需要(3票) vs 需要(0票),不需要,投票结果-不需要(3票) vs 需要(0票)
Georgetown University,M.S.,Master of Science in Data Science and Analytics,文理研究生院,,不需要,投票结果-不需要(3票) vs 需要(0票),不需要,投票结果-不需要(3票) vs 需要(0票)
Georgetown University,M.S.,Mathematics & Statistics ,文理研究生院,,不需要,投票结果-不需要(2票) vs 需要(0票),不需要,投票结果-不需要(3票) vs 需要(0票)
Georgetown University,M.S.,Mathematics & Statistics ,文理研究生院,,不需要,投票结果-不需要(3票) vs 需要(0票),不需要,投票结果-不需要(2票) vs 需要(0票)
Emory University,MS,Quantitative Theory and Methods,研究生院,,不需要,投票结果-不需要(3票) vs 需要(0票),不需要,投票结果-不需要(3票) vs 需要(0票)
University of Virginia,PHD,Data Analytics and Decision Science,达顿商学院,,,PhD项目-默认跳过,,PhD项目-默认跳过
University of Virginia,MSDS,Data Science,数据科学学院,,不需要,投票结果-不需要(3票) vs 需要(0票),需要,投票结果-需要(3票) vs 不需要(0票)
University of Virginia,PHD,Data Science,数据科学学院,,,PhD项目-默认跳过,,PhD项目-默认跳过
Carnegie Mellon University,MITS,Master of Information Technology Strategy (MITS),人文与社会科学学院,,不需要,投票结果-不需要(2票) vs 需要(1票),需要,投票结果-需要(3票) vs 不需要(0票)
Carnegie Mellon University,MADS,Master of Science in Applied Data Science (MADS),人文与社会科学学院,,不需要,投票结果-不需要(3票) vs 需要(0票),不需要,投票结果-不需要(3票) vs 需要(0票)
Carnegie Mellon University,MISM,Information Systems Management（BUSINESS INTELLIGENCE & DATA ANALYTICS）,信息系统与公共政策学院 ,,不需要,投票结果-不需要(3票) vs 需要(0票),需要,投票结果-需要(3票) vs 不需要(0票)
Carnegie Mellon University,MISM,Information Systems Management（BUSINESS INTELLIGENCE & DATA ANALYTICS）,信息系统与公共政策学院 ,,不需要,投票结果-不需要(3票) vs 需要(0票),需要,投票结果-需要(3票) vs 不需要(0票)
Carnegie Mellon University,MS,MS in DATA ANALYTICS FOR SCIENCE,科学学院,,不需要,投票结果-不需要(3票) vs 需要(0票),不需要,投票结果-不需要(3票) vs 需要(0票)
Carnegie Mellon University,MCDS,Computational Data Science,计算机科学学院,,不需要,投票结果-不需要(3票) vs 需要(0票),需要,投票结果-需要(3票) vs 不需要(0票)
Carnegie Mellon University,MCDS,Computational Data Science,计算机科学学院,,,投票平局-需要(1票) vs 不需要(1票),需要,投票结果-需要(3票) vs 不需要(0票)
Washington University in St. Louis,MS,MS in Engineering Data Analytics & Statistics,工程学院,,不需要,投票结果-不需要(3票) vs 需要(0票),不需要,投票结果-不需要(3票) vs 需要(0票)
Washington University in St. Louis,MS,MS in Engineering Data Analytics & Statistics,工程学院,,不需要,投票结果-不需要(3票) vs 需要(0票),不需要,投票结果-不需要(3票) vs 需要(0票)
Washington University in St. Louis,PHD,Computational & Data Sciences ,工程学院,,,PhD项目-默认跳过,,PhD项目-默认跳过
Washington University in St. Louis,MS,Master of Data Analytics & Applications,继续和专业教育学院,,不需要,投票结果-不需要(2票) vs 需要(1票),,无有效回答
Washington University in St. Louis,MS,Master of Data Analytics & Applications,继续和专业教育学院,,不需要,投票结果-不需要(3票) vs 需要(0票),,无有效回答
University of Florida,M.S.,Information Systems and Operations Management：Data Science,商学院,,需要,投票结果-需要(3票) vs 不需要(0票),需要,投票结果-需要(3票) vs 不需要(0票)
University of Florida,M.S.,Information Systems and Operations Management：Data Science,商学院,,需要,投票结果-需要(3票) vs 不需要(0票),需要,投票结果-需要(3票) vs 不需要(0票)
University of Florida,M.S.,Information Systems and Operations Management：Data Science,商学院,,需要,投票结果-需要(3票) vs 不需要(0票),需要,投票结果-需要(3票) vs 不需要(0票)
University of Florida,M.S.,Information Systems and Operations Management：Data Science,商学院,,需要,投票结果-需要(3票) vs 不需要(0票),需要,投票结果-需要(3票) vs 不需要(0票)
"University of California, Davis",MS,Statistics- DATA SCIENCE TRACK (48 units),文学与科学学院,,不需要,投票结果-不需要(3票) vs 需要(0票),不需要,投票结果-不需要(3票) vs 需要(0票)
"University of California, San Diego",PhD,Data Science,数据科学研究所,,,PhD项目-默认跳过,,PhD项目-默认跳过
"University of California, San Diego",MS,Data Science,数据科学研究所,,不需要,投票结果-不需要(3票) vs 需要(0票),不需要,投票结果-不需要(3票) vs 需要(0票)
"University of California, San Diego",MS,Machine Learning and Data Science ,工程学院,,不需要,投票结果-不需要(3票) vs 需要(0票),不需要,投票结果-不需要(3票) vs 需要(0票)
"University of California, San Diego",PHD,Machine Learning and Data Science ,工程学院,,,PhD项目-默认跳过,,PhD项目-默认跳过
University of Southern California,PhD,Business Administration( Data Sciences & Operations),商学院,,,PhD项目-默认跳过,,PhD项目-默认跳过
University of Southern California,M.S.,Computer Science (Data Science),工程学院,,不需要,投票结果-不需要(3票) vs 需要(0票),不需要,投票结果-不需要(3票) vs 需要(0票)
University of Southern California,M.S.,Computer Science (Data Science),工程学院,,不需要,投票结果-不需要(3票) vs 需要(0票),不需要,投票结果-不需要(3票) vs 需要(0票)
University of Southern California,M.S.,Applied Data Science,工程学院,,不需要,投票结果-不需要(3票) vs 需要(0票),不需要,投票结果-不需要(3票) vs 需要(0票)
University of Southern California,M.S.,Applied Data Science,工程学院,,不需要,投票结果-不需要(3票) vs 需要(0票),不需要,投票结果-不需要(3票) vs 需要(0票)
University of Southern California,M.S.,ECE-Machine Learning and Data Science,工程学院,,不需要,投票结果-不需要(3票) vs 需要(0票),不需要,投票结果-不需要(2票) vs 需要(1票)
University of Southern California,M.S.,ECE-Machine Learning and Data Science,工程学院,,不需要,投票结果-不需要(3票) vs 需要(0票),不需要,投票结果-不需要(3票) vs 需要(0票)
University of Southern California,M.S.,Analytics,工程学院,,不需要,投票结果-不需要(3票) vs 需要(0票),不需要,投票结果-不需要(3票) vs 需要(0票)
University of Southern California,M.S.,Analytics,工程学院,,不需要,投票结果-不需要(3票) vs 需要(0票),不需要,投票结果-不需要(3票) vs 需要(0票)
University of Southern California,M.S.,Mathematical Data Science M.S.,文理学院,,不需要,投票结果-不需要(3票) vs 需要(0票),不需要,投票结果-不需要(3票) vs 需要(0票)
"University of Texas, Austin", Ph.D.,Electrical and Computer Engineering ,工程学院,,,PhD项目-默认跳过,,PhD项目-默认跳过
"University of Texas, Austin", Ph.D.,Electrical and Computer Engineering ,工程学院,,,PhD项目-默认跳过,,PhD项目-默认跳过
"University of Texas, Austin",MSE ,Electrical and Computer Engineering,工程学院,,不需要,投票结果-不需要(3票) vs 需要(0票),不需要,投票结果-不需要(3票) vs 需要(0票)
"University of Texas, Austin",MSE ,Electrical and Computer Engineering,工程学院,,不需要,投票结果-不需要(3票) vs 需要(0票),不需要,投票结果-不需要(3票) vs 需要(0票)
"University of California, Irvine",MDS,Master of Data Science,信息与计算机科学学院,,不需要,投票结果-不需要(3票) vs 需要(0票),不需要,投票结果-不需要(3票) vs 需要(0票)
Georgia Institute of Technology,MS,Analytics,商学院,,不需要,投票结果-不需要(3票) vs 需要(0票),不需要,投票结果-不需要(3票) vs 需要(0票)
"University of California, Santa Barbara",MA,Statistics-Data Science,文理学院,,不需要,投票结果-不需要(3票) vs 需要(0票),不需要,投票结果-不需要(3票) vs 需要(0票)
"University of California, Santa Barbara",MA,Statistics-Data Science,文理学院,,不需要,投票结果-不需要(3票) vs 需要(0票),不需要,投票结果-不需要(3票) vs 需要(0票)
"University of California, Santa Barbara",MA,Statistics-Data Science,文理学院,,不需要,投票结果-不需要(3票) vs 需要(0票),不需要,投票结果-不需要(3票) vs 需要(0票)
New York University,Ph.D,Data Science ,文理研究生院,,,PhD项目-默认跳过,,PhD项目-默认跳过
New York University,MS,Data Science ,文理研究生院,,不需要,投票结果-不需要(3票) vs 需要(0票),不需要,投票结果-不需要(3票) vs 需要(0票)
New York University,MS,Data Science （Industry Concentration）,文理研究生院,,不需要,投票结果-不需要(3票) vs 需要(0票),不需要,投票结果-不需要(2票) vs 需要(0票)
New York University,MS,MS in Data Analytics & Business Computing,商学院,,不需要,投票结果-不需要(3票) vs 需要(0票),不需要,投票结果-不需要(2票) vs 需要(0票)
"University of Wisconsin, Madison",M.S.,MS – Data Engineering,文理学院,,不需要,投票结果-不需要(3票) vs 需要(0票),不需要,投票结果-不需要(3票) vs 需要(0票)
"University of Wisconsin, Madison",MS,Statistics and Data Science,文理学院,,不需要,投票结果-不需要(3票) vs 需要(0票),不需要,投票结果-不需要(3票) vs 需要(0票)
"University of Wisconsin, Madison",MS,Statistics and Data Science,文理学院,,不需要,投票结果-不需要(3票) vs 需要(0票),不需要,投票结果-不需要(3票) vs 需要(0票)
"University of Wisconsin, Madison",MS,Data Science,文理学院,,不需要,投票结果-不需要(3票) vs 需要(0票),不需要,投票结果-不需要(3票) vs 需要(0票)
"University of Illinois, Urbana-Champaign",MS,Data Science + CEE M.S.,工程学院,,不需要,投票结果-不需要(3票) vs 需要(0票),不需要,投票结果-不需要(3票) vs 需要(0票)
"University of Illinois, Urbana-Champaign",MS,Data Science + CEE M.S.,工程学院,,不需要,投票结果-不需要(2票) vs 需要(0票),不需要,投票结果-不需要(3票) vs 需要(0票)
"University of Illinois, Urbana-Champaign",MS,MS in Industrial Engineering with the Advanced Analytics Concentration,工程学院,,不需要,投票结果-不需要(3票) vs 需要(0票),不需要,投票结果-不需要(3票) vs 需要(0票)
"University of Illinois, Urbana-Champaign",MS,MS in Industrial Engineering with the Advanced Analytics Concentration,工程学院,,不需要,投票结果-不需要(3票) vs 需要(0票),不需要,投票结果-不需要(3票) vs 需要(0票)
"University of Illinois, Urbana-Champaign",,Data Science & Engineering (DSE),工程学院,,不需要,投票结果-不需要(2票) vs 需要(0票),不需要,投票结果-不需要(3票) vs 需要(0票)
"University of Illinois, Urbana-Champaign",MS,MS in Information Management,信息科学学院,,不需要,投票结果-不需要(2票) vs 需要(0票),不需要,投票结果-不需要(2票) vs 需要(0票)
"University of Illinois, Urbana-Champaign",MS,MS in Information Management,信息科学学院,,不需要,投票结果-不需要(2票) vs 需要(0票),不需要,投票结果-不需要(3票) vs 需要(0票)
