序号,大学英文名称,学位,专业英文名称,所属院系,Gemini最终毕业要求,处理状态,Gemini完整回答,原始回答1,原始回答2,原始回答3,重试第1次,重试第2次
1,Massachusetts Institute of Technology,Meng,Civil and Environmental Engineering：Data Science for Engineering Systems (DSES) track,土木与环境工程系,Research thesis required.,SUCCESS,Research thesis required.,MEng Thesis required.,Research thesis required.,Research thesis required.,,
2,Massachusetts Institute of Technology,PhD,Social and Engineering Systems," 
数据，系统和社会研究所","Written and oral qualifying exams, teaching trainee service, and research thesis are required.",SUCCESS,"Written and oral qualifying exams, teaching trainee service, and research thesis are required.",A written qualifying exam and an oral qualifying exam are required.,Not found,"The PhD program in Social and Engineering Systems requires passing written and oral qualifying exams, completing a teaching trainee service, and successfully proposing, defending, and submitting a research thesis.",,
3,Massachusetts Institute of Technology,MAS,"Data, Economics, and Development Policy",经济学系,Capstone project required.,SUCCESS,Capstone project required.,Capstone project required.,Capstone project required.,"The first URL (oge.mit.edu) states: ""In your research statement, present a research topic that you could imagine pursuing during your summer capstone project."" and ""Note that you do not need to complete a full research study during your summer capstone project.""

The second URL (economics.mit.edu) states: ""Learners admitted to the DEDP program complete one semester of coursework at MIT and an approved capstone project.""

Both sources clearly indicate that a capstone project is a graduation requirement.",,
4,Harvard University,MPP,Master in Public Policy,哈佛大学肯尼迪学院,No additional graduation requirement.,SUCCESS,No additional graduation requirement.,"The provided URLs mainly discuss application requirements, prerequisites, and a specific ""Data and Research Methods track"" which involves completing a certain number of course credits. Neither page explicitly states non-coursework graduation requirements like a capstone, thesis, or comprehensive exam for the general MPP program. The ""Data and Research Methods track"" mentions a ""final capstone assessment"" but only for Public Leadership Credential (PLC) Pathway applicants to the MC/MPA Program, not the MPP program directly.

Therefore, I need to perform a search to find more specific graduation requirements for the MPP program.","The first URL, ""How to Apply"", discusses application requirements, prerequisites, and essays, but does not mention graduation requirements beyond coursework.
The second URL, ""Introducing the Data and Research Methods track"", describes an optional track within the MPP, MPA, and MC/MPA programs. It states that students pursuing this track must ""Enroll in and fulfill all MPP, MPA, or MC/MPA Program degree requirements"" and complete additional coursework, but it doesn't specify any non-coursework graduation requirements for the general MPP program itself.

Since neither of the initial URLs provides the specific non-coursework graduation requirements for the general MPP program, I will now use the suggested search query.","The first URL (Admissions) provides information about application requirements, but it does not mention any *graduation* requirements beyond coursework for the MPP program. It discusses prerequisites, GRE/GMAT, essays, recommendations, and transcripts.

The second URL (Data and Research Methods track) describes an optional track within the MPP, MPA, and MC/MPA programs. It states that students pursuing this track must ""Enroll in and fulfill all MPP, MPA, or MC/MPA Program degree requirements"" and ""Complete at least 16 course credits from a list of qualifying courses"". This indicates that the track itself is coursework-based, and it doesn't specify additional non-coursework graduation requirements for the *main* MPP degree.

I need to find the general graduation requirements for the MPP program, not just an optional track. I will perform a targeted search.",,
5,Harvard University,MPP / ID,Master in Public Administration in International Development,哈佛大学肯尼迪学院,A development-related internship and a Second-Year Policy Analysis are required.,SUCCESS,A development-related internship and a Second-Year Policy Analysis are required.,A development-related internship and a Second-Year Policy Analysis are required.,A development-related internship and a Second-Year Policy Analysis are required.,"The first URL, ""How to Apply"", provides general admission information and prerequisites for various master's programs, including the MPA/ID. It does not mention any non-coursework graduation requirements. It discusses GRE/GMAT, essays, resumes, recommendations, and transcripts.

The second URL, ""Introducing the Data and Research Methods track"", discusses an optional STEM-designated track for MPP, MPA, and MC/MPA students, and notes that the MPA/ID program is already STEM-designated. It mentions completing a certain number of course credits from qualifying courses, but these are still coursework requirements. It does not mention any non-coursework graduation requirements beyond regular coursework for the general MPA/ID program.

I need to search for more information. I will use the suggested search query.",,
6,Harvard University,MPP,Master in Public Administration,哈佛大学肯尼迪学院,"Capstone experiences, including a Spring Exercise and a Policy Analysis Exercise (PAE), are required.",SUCCESS,"Capstone experiences, including a Spring Exercise and a Policy Analysis Exercise (PAE), are required.","The first URL is about ""How to Apply"" and mainly covers prerequisites, application components (essays, GRE/GMAT, recommendations, transcripts), and English proficiency. It does not explicitly state non-coursework graduation requirements for the MPP program.

The second URL introduces the ""Data and Research Methods track"" which is a STEM-designated pathway for MPP, MPA, and MC/MPA students. It specifies that students must ""Enroll in and fulfill all MPP, MPA, or MC/MPA Program degree requirements"" and complete specific coursework within this track. However, it does not mention any *additional* non-coursework requirements beyond regular coursework for the general MPP degree itself.

I need to look for general graduation requirements for the MPP program, not just a specific track. Since the provided URLs don't explicitly state non-coursework graduation requirements for the MPP, I will now use the search tool as per the instructions.

Search query: ""Harvard University Harvard Kennedy School MPP Master in Public Administration graduation requirement capstone thesis practicum exam site:.edu""","The Master in Public Policy program requires capstone experiences, including a Spring Exercise and a Policy Analysis Exercise (PAE).","Capstone experiences, including a Spring Exercise and a Policy Analysis Exercise (PAE), are required.",,
7,Harvard University,MC/MPA,Mid-Career Master in Public Administration,哈佛大学肯尼迪学院,No additional graduation requirement.,SUCCESS,No additional graduation requirement.,No additional graduation requirement.,No additional graduation requirement.,No additional graduation requirement.,,
8,Stanford University,PhD,‌Education Data Science,教育学院,No additional graduation requirement,SUCCESS,No additional graduation requirement,Not found.,Not found,Not found.,,
9,Stanford University,MS,Education Data Science (MS),教育学院,Capstone project required.,SUCCESS,Capstone project required.,Not found,Capstone project required.,A capstone project is required.,,
10,Stanford University,PhD,Biomedical Data Science,生物科学学院,"A qualifying exam, a thesis pre-proposal seminar, and a dissertation are required.",SUCCESS,"A qualifying exam, a thesis pre-proposal seminar, and a dissertation are required.",A qualifying exam and a research thesis are required.,"The Biomedical Data Science PhD program requires a qualifying exam, a thesis pre-proposal seminar, a dissertation, and a teaching assistantship.","A qualifying exam, a thesis pre-proposal seminar, and a dissertation are required.",,
11,Stanford University,MS,Biomedical Data Science,生物科学学院,A research project is required for the Academic (Research) MS degree.,SUCCESS,A research project is required for the Academic (Research) MS degree.,A research project is required for the Academic (Research) MS degree.,Research project required.,A research project is required for the Academic (Research) MS degree.,,
12,University of Pennsylvania,MUSA,Master of Urban Spatial Analytics,设计学院,Practicum or capstone project required.,SUCCESS,Practicum or capstone project required.,Practicum or capstone project required.,Practicum or capstone project required.,Practicum or capstone project required.,,
13,University of Pennsylvania,MSSP + DA,Social Policy+Data Analytics for Social Policy Certificate,社会政策与实践学院,A capstone seminar and a minimum 150-hour policy internship are required.,SUCCESS,A capstone seminar and a minimum 150-hour policy internship are required.,A capstone seminar and a policy internship of at least 150 hours are required.,Capstone project and a policy internship of at least 150 hours required.,"The first URL (sp3.upenn.edu) did not load, but the second URL (sp2.upenn.edu) provided a lot of information.

From the content of `https://sp2.upenn.edu/program/master-of-science-in-social-policy-data-analytics-for-social-policy-certificate/`:

*   Under ""Director's Welcome"", it states: ""Policy internships and projects will give you the opportunity to apply your skills in real-world settings."" and ""In addition to our rigorous academic training, you will gain real-world experience through a policy internship that will connect you with policy practitioners and organizations in multiple sectors and settings.""
*   Under ""The SP2 Difference"", it mentions: ""Gain hands-on, career-focused experience through policy internships in data analytics"" and ""Engage in practical policy research in the Data for Equitable Justice Lab"".
*   Under ""Curriculum"", in the ""3rd Semester (Fall)"" section, it lists: ""MSSP 6380: MSSP+DA Capstone Seminar: Telling Stories with Data (1CU)"" and ""MSSP 6390: MSSP+DA Policy Internship in Data Analytics Seminar (0CU)"".
*   Under ""Social Policy Internship"", it explicitly states: ""The MSSP+DA program provides students with competitive and cutting-edge opportunities to complete policy internships in data analytics... Credit for internships is incorporated into the MSSP+DA Capstone Seminar, and students most often complete the internship in their final spring semester. The Data Analytics policy internship must consist of a minimum commitment of 150 hours.""

So, there are two clear non-coursework requirements: a Capstone Seminar and a Policy Internship. The internship is explicitly stated to be a minimum of 150 hours.

Let's synthesize this into one concise sentence.

Capstone seminar and a policy internship of at least 150 hours required.
Capstone seminar and a minimum 150-hour policy internship are required.",,
14," 
Brown University",MS,Social Data Analytics,研究生院,No additional graduation requirement.,SUCCESS,No additional graduation requirement.,No additional graduation requirement.,No additional graduation requirement,No additional graduation requirement,,
15,Columbia University,M.A.,"Master of Science (M.S.) in Data, Learning, and Society",师范学院,A capstone project or research practicum is required.,SUCCESS,A capstone project or research practicum is required.,A capstone project or research practicum is required.,Capstone project or research practicum required.,A capstone project or research practicum is required.,,
16,Columbia University,MA,Quantitative Methods in the Social Sciences,艺术与科学研究生院,No additional graduation requirement.,SUCCESS,No additional graduation requirement.,,Master's thesis required.,,,
17,Cornell University,M.S.,Biostatistics and Data Science,威尔康奈尔医学科学研究生院,Mentored research project required.,SUCCESS,Mentored research project required.,A mentored research project providing hands-on experience is required.,Mentored research project required.,,,
18,University of Chicago,MSCAPP,MS in Computational Analysis and Public Policy,物理科学部,A capstone project or thesis is often required.,SUCCESS,A capstone project or thesis is often required.,The MSCAPP program often involves a capstone project or thesis.,A capstone project or thesis involving the application of computational and analytical methods to real-world policy issues is often required.,"The Admissions URL primarily focuses on application requirements (transcripts, recommendations, GRE, etc.) and deadlines. It mentions ""Degree Programs"" under ""Academics"" and lists ""MS in Computational Analysis and Public Policy."" It also mentions ""Practical Experience"" as part of ""Design Your Path"" but doesn't explicitly state it as a *graduation requirement* for MSCAPP. It also states: ""The motivation statement requirement does not apply to MS in Computational Analysis and Public Policy (MSCAPP) program, which instead requires MSCAPP applicants to answer supplemental short answer questions."" This is about application, not graduation.

The Program URL provides an overview of the MSCAPP program, including ""About,"" ""Curriculum,"" ""People,"" ""Outcomes,"" ""Opportunities,"" ""Profiles,"" ""Admissions,"" and ""FAQ."" I need to delve deeper into these sections, especially ""Curriculum"" or ""Opportunities,"" to find graduation requirements. The page has links like ""Learn more"" under each section. I will start by browsing the ""Curriculum"" link to see if it lists graduation requirements.

The Admissions page also mentions ""BA Thesis Process"" and ""Capstone Projects"" under ""Undergraduate Program,"" but this is for undergraduate students, not graduate.

I will browse the Curriculum page from the Program URL. The direct link is not provided on the main page, so I need to find it by examining the page structure. Looking at the navigation, it seems like `https://capp.uchicago.edu/curriculum` would be the correct path.",,
19,University of Chicago,M.S. ,MS in Environmental Science,物理科学部,Capstone project required,SUCCESS,Capstone project required,Capstone project required,Capstone project required,Capstone project required.,,
20,University of Chicago,MAPSS,Quantitative Methods & Social Analysis,社会科学部,Thesis or capstone project required.,SUCCESS,Thesis or capstone project required.,Thesis or capstone project required.,Thesis or capstone project required.,Thesis or capstone project required.,,
21,University of Chicago,MACSS,Computational Social Science,社会科学部,A master's thesis (academic or professional option) is required.,SUCCESS,A master's thesis (academic or professional option) is required.,An MA thesis (academic or professional option) is required.,"A master's thesis is required for graduation, with options for an academic or professional thesis.",Research thesis required.,,
22,University of Chicago,MACSS,Computational Social Science ：economics,社会科学部,Research thesis required.,SUCCESS,Research thesis required.,Research thesis required.,Research thesis required.,,,
23,"University of California, Berkeley",M.A.,Master of Computational Social Science (MaCSS),计算社会科学学院,Capstone project and boot camp or pass waiver exams required.,SUCCESS,Capstone project and boot camp or pass waiver exams required.,Capstone project and qualifying exam required.,"A capstone project is required, and students must complete a boot camp or pass waiver exams in advanced statistics and computational methods.","A capstone project is required, and students must complete two summer boot camp courses or pass two waiver exams.",,
24,Rice University,PSM,Applied Chemical Sciences ：Computational Chemistry and Data Science,自然科学学院,No additional graduation requirement.,SUCCESS,No additional graduation requirement.,Required internship or a capstone/research project.,,No additional graduation requirement.,,
25,Rice University,PSM,Applied Chemical Sciences ：Computational Chemistry and Data Science,自然科学学院,No additional graduation requirement,SUCCESS,No additional graduation requirement,An internship or capstone/research project is required.,No additional graduation requirement.,The,,
26,"University of Michigan, Ann Arbor",Ph.D,Survey and Data Science,文化、科学与艺术学院,"Responsible Conduct of Research and Scholarship training, a prospectus proposal, qualifying and comprehensive examinations, and a doctoral dissertation with defense are required.",SUCCESS,"Responsible Conduct of Research and Scholarship training, a prospectus proposal, qualifying and comprehensive examinations, and a doctoral dissertation with defense are required.","The program requires completion of Responsible Conduct of Research and Scholarship (RCRS) Training, achieving candidacy, a prospectus proposal, a qualifying and comprehensive examination, and writing and defending a doctoral dissertation.","The non-coursework graduation requirements include completion of Responsible Conduct of Research and Scholarship training, successful completion of a qualifying and comprehensive examination, a final paper and presentation, a prospectus proposal, and writing and defending a doctoral dissertation.",Qualifying and comprehensive examinations and a doctoral dissertation with defense are required.,,
27,"University of Michigan, Ann Arbor",MS,Survey and Data Science,文化、科学与艺术学院,Approved internship experience and attendance at 75% of scheduled department seminar series and professional development events are required.,SUCCESS,Approved internship experience and attendance at 75% of scheduled department seminar series and professional development events are required.,Approved internship experience and attendance at 75% of scheduled department seminar series and professional development events are required.,An approved internship experience and attendance at 75% of scheduled department seminar series and professional development events are required.,Internship experience and attendance at 75% of scheduled department seminar series and professional development events required.,,
28,Georgetown University,M.S.,Data Science for Public Policy,公共政策学院,"An internship of at least 120 hours is required, with a waiver option based on prior experience.",SUCCESS,"An internship of at least 120 hours is required, with a waiver option based on prior experience.",No additional graduation requirement,A formal internship of at least 120 hours is required.,"An internship of at least 120 hours is required, with a waiver option based on prior experience.",,
29,University of Virginia,ME,Biomedical Engineering,工程学院,"A supervised research and design project is required, culminating in a written report and public presentations.",SUCCESS,"A supervised research and design project is required, culminating in a written report and public presentations.",A design project is required.,Capstone project required.,"A supervised research and design project is required, culminating in a written report and public presentations.",,
30,Carnegie Mellon University,MSPPM,MACHINE LEARNING & PUBLIC POLICY,信息系统与公共政策学院 ,Internship and capstone project required.,SUCCESS,Internship and capstone project required.,A summer internship and a Systems Synthesis project (capstone) are required.,Internship and capstone project required.,"Internship required, except for the three-semester track.",,
31,Carnegie Mellon University,Ph.D.,Societal Computing,计算机科学学院,Research thesis and qualifying exams required.,SUCCESS,Research thesis and qualifying exams required.,Qualifying exams and a dissertation are required.,Research thesis and qualifying exams are required.,"Research thesis, qualifying exam, two semesters of practicum, and two semesters as a teaching assistant are required.",,
32,Washington University in St. Louis,MSBDS,Master of Science in Biostatistics and Data Science (MSBDS),医学院,Internship or mentored research experience required.,SUCCESS,Internship or mentored research experience required.,Internship or mentored research experience required.,Internship or mentored research experience required.,Internship or mentored research experience required.,,
33,Washington University in St. Louis,PHD,Biomedical Informatics and Data Science,医学院,"Qualifying examinations, a department-defined mentored experience, and a research dissertation defense are required.",SUCCESS,"Qualifying examinations, a department-defined mentored experience, and a research dissertation defense are required.","Graduation requirements include passing examinations, fulfilling a Mentored Experience Requirement, and completing a research dissertation.","Doctoral students must pass a qualifying exam, fulfill a department-defined mentored experience requirement (teaching or professional), and complete and defend a dissertation.","Qualifying examinations, a mentored experience, a research dissertation, and its defense are required.",,
34,"University of California, San Diego",MS,COMPUTATIONAL SOCIAL SCIENCE,社会科学部,Capstone project required.,SUCCESS,Capstone project required.,Capstone project required.,Capstone project required.,"The program URL clearly states: ""The capstone project provides real-world, hands-on training in applying computational social science in a business, non-profit, organizational, or research setting, culminating in a portfolio-worthy project.""

This directly answers the question about non-coursework graduation requirements.Capstone project required",,
35,"University of California, San Diego",PhD,COMPUTATIONAL SOCIAL SCIENCE,社会科学部,No additional graduation requirement.,SUCCESS,No additional graduation requirement.,Not found,The,No additional graduation requirement.,,
36,"University of California, San Diego",PHD,Computational Biology and Data Science,医学院,"A doctoral dissertation, preliminary assessment exam, research qualifying exam, and dissertation defense exam are required.",SUCCESS,"A doctoral dissertation, preliminary assessment exam, research qualifying exam, and dissertation defense exam are required.","The program requires successful completion of a doctoral dissertation and three examinations: preliminary assessment, research qualifying, and dissertation defense.",Not found,"A preliminary assessment exam, a research qualifying exam, a dissertation defense examination, and a doctoral dissertation are required.",,
37,University of Southern California,M.S.,Communication Data Science,传播与新闻学院,No additional graduation requirement.,SUCCESS,No additional graduation requirement.,A non-credit Managing Complexity in Diverse Organizations course is required.,Not found,Not found,,
38,University of Southern California,M.S.,MS IN BIOMEDICAL ENGINEERING – BIOMEDICAL DATA ANALYTICS,工程学院,Thesis option available.,SUCCESS,Thesis option available.,Thesis option available.,No additional graduation requirement,Thesis option available.,,
39,University of Southern California,M.S.,Master of Science in Communication Data Science,工程学院,No additional graduation requirement.,SUCCESS,No additional graduation requirement.,No additional graduation requirement.,No additional graduation requirement.,No additional graduation requirement.,,
40,University of Southern California,M.S.,MS IN ENVIRONMENTAL DATA SCIENCE,工程学院,No additional graduation requirement.,SUCCESS,No additional graduation requirement.,No additional graduation requirement.,No additional graduation requirement.,No additional graduation requirement.,,
41,University of Southern California,M.S.,Spatial Data Science,工程学院,No additional graduation requirement.,SUCCESS,No additional graduation requirement.,A capstone course or research thesis is required.,Not found,Not found,,
42,University of Southern California,M.S.,M.S. in Spatial Economics and Data Analysis,文理学院,No additional graduation requirement.,SUCCESS,No additional graduation requirement.,No additional graduation requirement.,No additional graduation requirement.,No additional graduation requirement.,,
43,University of Southern California,M.S.,Public Policy Data Science,公共政策学院,Capstone project required,SUCCESS,Capstone project required,A capstone project is required.,Capstone project required.,The,,
44,"University of California, Irvine",MENG,CIVIL AND ENVIRONMENTAL ENGINEERING,工程学院,Capstone project required,SUCCESS,Capstone project required,Capstone project required.,Capstone project required.,Capstone project required.,,
45,Georgia Institute of Technology,MS,Master of Science in Urban Analytics,设计学院,Capstone project required,SUCCESS,Capstone project required,A capstone project is required.,Capstone project required.,A capstone project is required.,,
46,"University of California, Santa Barbara",MEDS,MASTER OF ENVIRONMENTAL DATA SCIENCE,环境科学与管理学院,Capstone project required.,SUCCESS,Capstone project required.,A client-driven capstone project is required.,Capstone project required.,Capstone project required.,,
47,New York University,MS,Data Science – Biomedical Informatics Track,文理研究生院,Capstone project required.,SUCCESS,Capstone project required.,Capstone project required.,Capstone project required.,Capstone project required.,,
48,New York University,MS,Applied Statistics for Social Science Research (ASSR-MS),文化，教育和人类发展学院,An internship and a consulting research seminar are required.,SUCCESS,An internship and a consulting research seminar are required.,The MS Applied Statistics for Social Science Research program requires an internship and a consulting research seminar.,A statistical consulting research seminar or an internship is required.,A statistical consulting research seminar is required.,,
49,New York University,MS/MPA,Applied Statistics for Social Science Research (MS) / Public and Nonprofit Management (MPA) - Dual Degree (ASSD-MS),文化，教育和人类发展学院,Capstone project required,SUCCESS,Capstone project required,A capstone culminating project is required.,"The browsed pages provide information about the dual degree program, admissions requirements, curriculum overview (credits), and contact information. However, they do not explicitly state any non-coursework graduation requirements like a capstone, thesis, or comprehensive exam. The text mentions ""Students graduate and receive a diploma from each school after successful completion of the dual-degree requirements for both degrees"", but it doesn't specify what those requirements are beyond coursework.

I will now perform the suggested search query to find more specific graduation requirements.",Capstone project required.,,
50,New York University,MS,Statistics and Computational Social Science,文化，教育和人类发展学院,Research dissertation required.,SUCCESS,Research dissertation required.,Doctoral dissertation required.,Statistical consulting research seminar required.,Research dissertation required.,,
51,"University of Wisconsin, Madison",M.S.,Psychology：DATA SCIENCE IN HUMAN BEHAVIOR,文理学院,Capstone project required,SUCCESS,Capstone project required,A capstone project is required.,Capstone project required.,A capstone project is required.,,
52,"University of Wisconsin, Madison",M.S.,"Biomedical Data Science, M.S.",医学和公共卫生学院,No additional graduation requirement.,SUCCESS,No additional graduation requirement.,No additional graduation requirement.,A 4-credit research-based independent study is required.,No additional graduation requirement.,,
53,"University of Wisconsin, Madison",Ph.D.,"Biomedical Data Science, Ph.D.",医学和公共卫生学院,"Research rotations, an oral preliminary exam, a dissertation with a final oral defense, and a doctoral minor or graduate/professional certificate are required.",SUCCESS,"Research rotations, an oral preliminary exam, a dissertation with a final oral defense, and a doctoral minor or graduate/professional certificate are required.","Research rotations, an oral preliminary exam, a dissertation with a final oral defense, and a doctoral minor or graduate/professional certificate are required.","Research rotations, an oral preliminary exam, a dissertation, a final oral exam, and a doctoral minor or graduate/professional certificate are required.","Research rotations, an oral preliminary exam, a dissertation, and a final oral exam (dissertation defense) are required.",,
54,"University of Illinois, Urbana-Champaign",MS,statistics-analytics,文理学院,Experiential learning required.,SUCCESS,Experiential learning required.,"An experiential learning requirement can be fulfilled through a statistical consulting course, a professional statistics course, or an approved internship.",,"Experiential learning, fulfilled by an internship, statistical consulting, or professional preparation, is required.",,
55,"University of Illinois, Urbana-Champaign",MS,statistics-analytics,文理学院,"Experiential learning, including statistical consulting, professional statistics, or an approved internship, is required.",SUCCESS,"Experiential learning, including statistical consulting, professional statistics, or an approved internship, is required.","An experiential learning requirement is fulfilled through a choice of statistical consulting, professional statistics, or an internship.","Experiential learning, including statistical consulting, professional statistics, or an approved internship, is required.","Experiential learning through statistical consulting, professional statistics, or an internship is required.",,
56,University of Washington,PHD,Bioengineering (PhD)：Data Science Option,工程学院,"Qualifying, general, and final examinations, a dissertation, laboratory rotations, and teaching experience are required.",SUCCESS,"Qualifying, general, and final examinations, a dissertation, laboratory rotations, and teaching experience are required.","Qualifying, general, and final examinations are required, along with laboratory rotations, teaching experience, and a doctoral dissertation.","Research dissertation, Qualifying Examination, General Examination, Final Examination, laboratory rotations, and teaching experience are required.","Qualifying, General, and Final Examinations, a dissertation, laboratory rotations, and a teaching experience are required.",,
57,University of Washington,PHD,Chemical Engineering (PhD)：Advanced Data Science Option,工程学院,"Research thesis, preliminary exam, and general exam are required.",SUCCESS,"Research thesis, preliminary exam, and general exam are required.","A research thesis, preliminary exam, general exam, and a Master of Science degree (thesis or non-thesis option) are required.","A preliminary exam, a general exam, and a dissertation are required.",Research thesis and comprehensive exams are required.,,
58,University of Washington,PHD,Civil & Environmental Engineering - Data Science Option,工程学院,"Research thesis, a general exam, and a final exam (dissertation defense) are required.",SUCCESS,"Research thesis, a general exam, and a final exam (dissertation defense) are required.",The,The,"Research thesis, a general exam, and a final exam (dissertation defense) are required.",,
59,University of Washington,MSEE,Electrical Engineering (MSEE) - Seattle ：Data Science Option,工程学院,Graduation requires either a coursework-only option or a thesis with a final oral examination.,SUCCESS,Graduation requires either a coursework-only option or a thesis with a final oral examination.,Thesis option available.,Research thesis option available.,Graduation requires either a coursework-only option or a thesis with a final oral examination.,,
60,University of Washington,PHD,Electrical Engineering (PhD) - Seattle ：Data Science Option,工程学院,"A qualifying exam, general exam, dissertation research, and dissertation defense are required.",SUCCESS,"A qualifying exam, general exam, dissertation research, and dissertation defense are required.","A qualifying exam, general exam, dissertation research, and dissertation defense are required.","Qualifying exam, general exam, dissertation defense, and dissertation research are required.","A dissertation, qualifying exam, general exam, and dissertation defense are required.",,
61,University of Washington,PHD,"Ph.D., Applied Mathematics: Advanced Data Science",文理学院,"Doctoral dissertation, qualifying exam, general exam, and final exam (defense) are required.",SUCCESS,"Doctoral dissertation, qualifying exam, general exam, and final exam (defense) are required.","The first URL could not be accessed. The second URL, `https://amath.washington.edu/phd-program`, provides detailed information about the Ph.D. program in Applied Mathematics.

From the content of the Ph.D. Program page:
- ""The Doctor of Philosophy (Ph.D.) Degree in Applied Mathematics is primarily a research degree, and is not conferred as a result of course work. The granting of the degree is based on proficiency in Applied Mathematics, and the ability to carry out an independent investigation as demonstrated by the completion of a doctoral dissertation.""
- ""Students in the Ph.D. program must pass the following exams: The qualifying exam, The general exam, The final exam (defense)""

Based on this, the non-coursework requirements are a doctoral dissertation and three exams.
Doctoral dissertation and three exams are required.","Doctoral dissertation, qualifying exam, general exam, and final exam are required.","Doctoral dissertation, qualifying exam, general exam, and final exam (defense) are required.",,
62,University of Washington,PHD,"Ph.D., Psychology: Data Science Option",文理学院,Dissertation and Final Examination are required.,SUCCESS,Dissertation and Final Examination are required.,Research thesis and comprehensive/final examination are required.,A doctoral final examination and a dissertation are required.,"A First Year Research Project, General Examination, and a Dissertation and Final Examination are required.",,
