大学英文名称,学位,专业英文名称,所属院系,所属院系（英文）,招生网址,专业网址,所属院系网址,更多项目信息
Massachusetts Institute of Technology,Meng,Civil and Environmental Engineering：Data Science for Engineering Systems (DSES) track,土木与环境工程系,,https://oge.mit.edu/programs/civil-and-environmental-engineering/,https://cee.mit.edu/education/graduate/graduate-degrees/,,"• Specialized Master of Engineering (MEng) track in Data Science for Engineering Systems.
• Expertise in data science and computational modeling for sustainable, resilient infrastructure systems.
• Career preparation for sustainable/resilient design of energy, materials, structures, supply chains, and urban systems.
• Project studio with MIT faculty and industry partners for practical data acquisition, analysis, and computational modeling."
Massachusetts Institute of Technology,PhD,Social and Engineering Systems," 
数据，系统和社会研究所",,https://oge.mit.edu/programs/institute-for-data-systems-and-society/,https://idss.mit.edu/academics/ses_doc/,,"• Interdisciplinary research: Combines statistics, information sciences, engineering, and social sciences for societal impact.
• Full financial support: Comprehensive funding covers tuition, stipend, and health insurance for the program duration.
• Problem-driven research: Addresses societal challenges in autonomous, energy, finance, social, and urban systems.
• Quantitative & data-intensive: Emphasizes mathematical modeling, data science, statistics, and analysis of real-world data.
• No GRE required: Simplified admissions process, only IELTS or Cambridge English for non-native speakers."
Massachusetts Institute of Technology,MAS,"Data, Economics, and Development Policy",经济学系,,https://oge.mit.edu/programs/data-economics-and-development-policy/,https://economics.mit.edu/academic-programs/masters-programs/masters-data-economics-and-design-policy-dedp,,"• Unique admissions: requires MITx DEDP MicroMasters credential, waiving traditional standardized tests like GRE/GMAT.
• Specialized curriculum: focuses on data, economics, and policy design for global development challenges, including a capstone project.
• Dual track options: offers International Development and Public Policy tracks for diverse career pathways.
• Interdisciplinary partnership: jointly administered by MIT Economics and J-PAL, focusing on evidence-based poverty alleviation."
Harvard University,MPP,Master in Public Policy,哈佛大学肯尼迪学院,,https://www.hks.harvard.edu/admissions-aid/masters-program-admissions/how-apply,https://www.hks.harvard.edu/admissions-blog/data-research-methods-track,,"• STEM-designated Data and Research Methods track for quantitative analysis.
• Curriculum sharpening public service skills through action-oriented social sciences.
• Admissions favoring leadership, quantitative proficiency, and public service commitment.
• Incoming students typically bring 2-3 years of professional work experience."
Harvard University,MPP / ID,Master in Public Administration in International Development,哈佛大学肯尼迪学院,,https://www.hks.harvard.edu/admissions-aid/masters-program-admissions/how-apply,https://www.hks.harvard.edu/admissions-blog/data-research-methods-track,,"• STEM-designated Master in Public Administration in International Development (MPA/ID) program.
• Rigorous quantitative foundation including economics, microeconomics, macroeconomics, and multivariable calculus.
• Advanced analytic and research methods training, with courses like Machine Learning and Big Data Analytics.
• Professional development focus, preferring two or more years of development-related work experience."
Harvard University,MPP,Master in Public Administration,哈佛大学肯尼迪学院,,https://www.hks.harvard.edu/admissions-aid/masters-program-admissions/how-apply,https://www.hks.harvard.edu/admissions-blog/data-research-methods-track,,The
Harvard University,MC/MPA,Mid-Career Master in Public Administration,哈佛大学肯尼迪学院,,https://www.hks.harvard.edu/admissions-aid/masters-program-admissions/how-apply,https://www.hks.harvard.edu/admissions-blog/data-research-methods-track,,
Stanford University,PhD,‌Education Data Science,教育学院,,https://ed.stanford.edu/admissions/application-reqs/programs,https://ed.stanford.edu/academics/doctoral,,"• Interdisciplinary research across various fields, supported by four faculty-led Research Centers.
• Cutting-edge GPU-centric computing instrument, Marlowe, for large-scale data-intensive research and machine learning.
• Dedicated scholar programs identifying and developing exceptional graduate and postdoc researchers in data-intensive methods.
• Research opportunities in computational data science, machine learning, and statistical analysis.
• Application of data science to educational challenges, including early childhood development and digital learning."
Stanford University,MS,Education Data Science (MS),教育学院,,https://ed.stanford.edu/admissions/application-reqs/programs,https://ed.stanford.edu/academics/masters,,Not found
Stanford University,PhD,Biomedical Data Science,生物科学学院,,https://biosciences.stanford.edu/how-to-apply/,https://biosciences.stanford.edu/program-overview/,,
Stanford University,MS,Biomedical Data Science,生物科学学院,,https://dbds.stanford.edu/for-prospective-students/,https://dbds.stanford.edu/biomedical-data-science-graduate-program-overview/,,"• Fully funded PhD program, emphasizing novel computational methods for advancing biology and medicine.
• Pioneering program (since 1982) with strong interdisciplinary ties to Computer Science and clinical departments.
• Comprehensive MS options: research-focused Academic MS and distance-learning Professional MS for working professionals.
• Core curriculum covers data acquisition, visualization, novel analytical methods, plus ethical and legal implications.
• Diverse research areas including healthcare informatics, AI/ML algorithms for real-world data, and medical image analysis."
University of Pennsylvania,MUSA,Master of Urban Spatial Analytics,设计学院,,https://www.design.upenn.edu/graduate-admissions/how-apply,https://www.design.upenn.edu/musa/about,,"• One-year Master's program: integrates GIS, spatial analysis, and data science for urban policy and planning.
• Interdisciplinary curriculum: jointly administered by Weitzman School of Design and Penn Institute for Urban Research.
• Hands-on experience: culminates in a required practicum or capstone project with real-world application.
• Strong career outcomes: graduates secure roles in public and private sectors, including data analyst and consultant.
• Comprehensive skill development: covers Python, R, GIS, and data visualization, with a summer bootcamp."
University of Pennsylvania,MSSP + DA,Social Policy+Data Analytics for Social Policy Certificate,社会政策与实践学院,,https://sp3.upenn.edu/how-to-apply-mssp/,https://sp2.upenn.edu/program/master-of-science-in-social-policy-data-analytics-for-social-policy-certificate/,,"• STEM-designated program: Integrates social policy with data analytics for equity and justice.
• Practical experience: Mandates a 150-hour policy internship and Data for Equitable Justice Lab research.
• Technical proficiency: Comprehensive training in SAS, R, Python, Java, GIS, and machine learning.
• Interdisciplinary approach: Blends policy analysis, data analytics, and critical theory for social impact."
Brown University,MS,Social Data Analytics,研究生院,,https://graduateprograms.brown.edu/graduate-program/social-data-analytics-scm,https://www.brown.edu/academics/sociology/programs/masters-scm-program-social-data-analytics,,"• STEM-designated Sc.M. program training in advanced data collection and analysis techniques.
• Specialized tracks in Qualitative, Spatial, and Demographic analysis for diverse career paths.
• Intensive research internship option with faculty-directed practicum applying skills to real-world data.
• Interdisciplinary faculty expertise from Sociology, Population Studies, and Spatial Structures in Social Sciences."
Columbia University,M.A.,"Master of Science (M.S.) in Data, Learning, and Society",师范学院,,https://www.tc.columbia.edu/human-development/data-learning-and-society/degrees--requirements/data-learning-and-society/,https://www.tc.columbia.edu/human-development/data-learning-and-society/degrees--requirements/data-learning-and-society/,,"• Online data analytics program specifically focused on education and learning environments.
• Curriculum integrating data analysis, statistics, learning analytics, and human development.
• Emphasis on social justice and ethical data use to address educational inequities.
• Flexible 100% online format designed for working professionals and educators."
Columbia University,MA,Quantitative Methods in the Social Sciences,艺术与科学研究生院,,https://www.gsas.columbia.edu/content/quantitative-methods-social-sciences,https://qmss.columbia.edu/,,"• Interdisciplinary curriculum spanning economics, history, political science, psychology, sociology, and statistics.
• Specialized focuses: Data Science, Economics, Experiments, and a flexible interdisciplinary study track.
• Rigorous quantitative research training, emphasizing communication of methods and findings.
• Career preparation for analytical/research roles, supported by an Innovation Lab and research assistantships."
Cornell University,M.S.,Biostatistics and Data Science,威尔康奈尔医学科学研究生院,,https://gradschool.weill.cornell.edu/programs/population-health-sciences,https://gradschool.weill.cornell.edu/programs/population-health-sciences,,"• Top-tier training in biostatistics and data science analytics.
• Mentored research project for hands-on health services research experience.
• Diverse career preparation in healthcare, public health, and technology.
• International student eligibility for 24-month STEM OPT extension."
University of Chicago,MSCAPP,MS in Computational Analysis and Public Policy,物理科学部,,https://harris.uchicago.edu/admissions/requirements-and-deadlines,https://capp.uchicago.edu/,,
University of Chicago,M.S. ,MS in Environmental Science,物理科学部,,https://geosci.uchicago.edu/academics/ms-in-environmental-sciences/admissions/,https://geosci.uchicago.edu/academics/ms-in-environmental-sciences//,,"• Environmental data science foundation for diverse disciplines.
• Capstone project applying data science to environmental challenges.
• Specialization options: climate science, ecology, environmental policy.
• Comprehensive career services and STEM OPT eligibility.
• Pathways to public policy, corporate sustainability, and green investing."
University of Chicago,MAPSS,Quantitative Methods & Social Analysis,社会科学部,,https://socialsciences.uchicago.edu/admissions/how-to-apply,https://mapss.uchicago.edu/programs-of-study,,"• One-year Master of Arts degree, preparing for PhDs or diverse industry careers.
• Specialized, STEM-eligible Quantitative Methods and Social Analysis program.
• Thesis or capstone project with dedicated faculty preceptor guidance.
• Interdisciplinary engagement with UChicago faculty across departments."
University of Chicago,MACSS,Computational Social Science,社会科学部,,https://macss.uchicago.edu/apply/application-requirements,https://mapss.uchicago.edu/programs-of-study,,
University of Chicago,MACSS,Computational Social Science ：economics,社会科学部,,https://macss.uchicago.edu/apply/application-requirements,https://mapss.uchicago.edu/programs-of-study,,
"University of California, Berkeley",M.A.,Master of Computational Social Science (MaCSS),计算社会科学学院,,https://grad.berkeley.edu/program/master-of-computational-social-science-mcss/,https://macss.berkeley.edu/,,"• 12-month professional master's program for social scientists.
• Advanced data analysis skillset for complex human behavior and social structures.
• Data-driven solutions for social issues like inequality, healthcare, and climate change.
• Comprehensive career development, including interviewing, networking, and resume workshops.
• Strong career prospects: graduates highly sought for data analyst roles in multiple sectors."
Rice University,PSM,Applied Chemical Sciences ：Computational Chemistry and Data Science,自然科学学院,,https://profms.rice.edu/application-deadlines,https://profms.rice.edu/programs/applied-chemical-sciences,,"• Non-thesis Master's: Alternative route for an MS in chemistry without an extensive research project.
• Specialized curriculum: Focuses on Computational Chemistry & Data Science, Bioorganic Chemistry, and Petroleum Chemistry.
• Required internship: Provides essential practical work experience for industry readiness.
• Professional skill development: Integrates advanced science with business, ethics, and communication courses.
• Broad career opportunities: Prepares graduates for roles in chemical industries, government, and science/technology sectors."
Rice University,PSM,Applied Chemical Sciences ：Computational Chemistry and Data Science,自然科学学院,,https://profms.rice.edu/application-deadlines,https://profms.rice.edu/programs/applied-chemical-sciences,,
"University of Michigan, Ann Arbor",Ph.D,Survey and Data Science,文化、科学与艺术学院,,https://psm.isr.umich.edu/graduate-admissions,https://psm.isr.umich.edu/programs-study,,"• Four-year fully funded PhD program covering tuition, fees, and a paid Graduate Student Research Assistantship.
• Interdisciplinary PhD program focusing on survey methods and data science, preparing for research/teaching careers.
• Research opportunities with U-M's Institute for Social Research, the world's largest academic social science research center.
• Nearly 100% career placement for Master's graduates in diverse fields, including social media, government, and market research.
• Master's program emphasizes strong statistical skills and practical application in data collection, analysis, and method development."
"University of Michigan, Ann Arbor",MS,Survey and Data Science,文化、科学与艺术学院,,https://psm.isr.umich.edu/graduate-admissions,https://psm.isr.umich.edu/programs-study,,"• Housed in U-M's Institute for Social Research, the world's largest academic social science research organization.
• Interdisciplinary curriculum blends sociology, psychology, statistics, and data science, focusing on survey data quality.
• Hands-on learning via internships at leading organizations and research within the Institute for Social Research.
• Strong career outcomes with nearly 100% of graduates finding diverse roles in social research.
• Financial support available, including graduate assistantships, traineeships, and fellowships.
"
Georgetown University,M.S.,Data Science for Public Policy,公共政策学院,,https://grad.georgetown.edu/public-policy/,https://mccourt.georgetown.edu/master-of-science-in-data-science-for-public-policy/,,"• STEM-eligible curriculum: Combines McCourt's renowned policy analysis with state-of-the-art data science for public policy challenges.
• Practical research opportunities: Engaging in policy-relevant research, like MDI Scholar roles, with partnering organizations on real-world data projects.
• Strategic Washington, DC location: Provides access to policy-making hubs and a dynamic tech community for professional development.
• Strong career outcomes: 95% of graduates employed or accepted offers within six months, leveraging data science for policy impact."
University of Virginia,ME,Biomedical Engineering,工程学院,,https://engineering.virginia.edu/graduate-study/future-grad-students/graduate-admission,https://engineering.virginia.edu/department/biomedical-engineering/academics/graduate-programs/me-biomedical-engineering,,"• Clinical immersion and design: Nine-month projects with clinicians within UVA Medical Center for real-world problem-solving.
• Biomedical innovation and commercialization: Strong emphasis on translational research and commercializing medical technologies.
• Data analytics and AI skills: Curriculum integrates programming, machine learning, AI, and data analytics using clinical data.
• Diverse career outcomes: Graduates secure varied professional roles, including data scientists and medical device patent examiners."
Carnegie Mellon University,MSPPM,MACHINE LEARNING & PUBLIC POLICY,信息系统与公共政策学院 ,,https://www.heinz.cmu.edu/admissions/public-policy-management/,https://www.heinz.cmu.edu/programs/public-policy-management-master/,,"• Data Analytics Track, including Python programming, prepares students for evidence-based policy solutions.
• Required internship provides practical, real-world experience in applying policy analysis and data skills.
• STEM-designated program offers significant career advantages, particularly for international students seeking post-graduation employment.
• Multidisciplinary curriculum integrates policy, statistics, economics, finance, and management for comprehensive societal problem-solving.
"
Carnegie Mellon University,Ph.D.,Societal Computing,计算机科学学院,,https://sc.cs.cmu.edu/prospective-students/index.html,https://sc.cs.cmu.edu/program/index.html,,"• Interdisciplinary core: Combines computer science with social sciences, law, and policy to tackle real-world problems holistically.
• Diverse research areas: Focuses on cybersecurity, privacy, socio-technical systems, policy analytics, and dynamic networks.
• Comprehensive skill development: Equips students with tools, techniques, and research methods for complex societal computing issues.
• Flexible career paths: Graduates pursue leadership roles in industry, government, and academia."
Washington University in St. Louis,MSBDS,Master of Science in Biostatistics and Data Science (MSBDS),医学院,,https://i2db.wustl.edu/education-programs/master-of-science-in-biostatistics-and-data-science/admissions/application-information/,https://i2db.wustl.edu/education-programs/master-of-science-in-biostatistics-and-data-science/,,
Washington University in St. Louis,PHD,Biomedical Informatics and Data Science,医学院,,https://dbbs.wustl.edu/admissions/application-requirements/,https://dbbs.wustl.edu/programs/,,"• Translational data science focus on biomedical informatics, translational science, and real-world problem-solving.
• Direct interaction with patients, providers, and the healthcare data ecosystem, alongside bench work.
• Collaborative science training within a preeminent biomedical research center, featuring faculty from 30+ departments.
• Personalized mentorship through a less than two-to-one student-to-faculty ratio and program steering committee."
"University of California, San Diego",MS,COMPUTATIONAL SOCIAL SCIENCE,社会科学部,,https://css.ucsd.edu/masters/Prospectives.html,https://css.ucsd.edu/masters/index.html,,"• One-year M.S. program: Applies causal social science and computational models to ""big data"" for group behavior analysis.
• Capstone project: Real-world, hands-on training for business, non-profit, organizational, or research settings.
• Foundational bootcamp: Intensive summer training in math, programming, and analysis, with flexible electives.
• Interdisciplinary mentorship: Connections with faculty across Social Sciences for diverse research applications.
• STEM-OPT eligibility: International students qualify for up to three years of post-program Optional Practical Training."
"University of California, San Diego",PhD,COMPUTATIONAL SOCIAL SCIENCE,社会科学部,,https://css.ucsd.edu/phd-specialization/admissions.html,https://css.ucsd.edu/phd-specialization/index.html,,"• Interdisciplinary PhD specialization: Integrates advanced computational, statistical, and machine learning methods with social science theories.
• Modern computational training: Focus on leveraging large naturalistic datasets and cutting-edge analytical tools for social inquiry.
• Broad career applicability: Equips graduates for roles analyzing human data and behavior across academic, public, and private sectors.
• Integrated CSS ecosystem: Fosters a supportive community and curriculum across UCSD's School of Social Sciences."
"University of California, San Diego",PHD,Computational Biology and Data Science,医学院,,https://biomedsci.ucsd.edu/how-to-apply/index.html,https://biomedsci.ucsd.edu/training-areas/index.html,,"• Joint effort across School of Medicine and main campus departments (e.g., Bioengineering).
• Focus on computational, integrative modeling, and engineering for biological and medical problems.
• Research areas include genomics, epigenomics, microbiome, using machine learning and network analyses.
• Integrated with training programs in Genetics, Bioinformatics, Cancer Biology, and Quantitative Biology.
• Faculty expertise in gene regulation, stem cell biology, cancer, malaria, and genetic diseases."
University of Southern California,M.S.,Communication Data Science,传播与新闻学院,,https://annenberg.usc.edu/admissions/graduate-applicants,https://annenberg.usc.edu/academics/communication-data-science-ms,,"• Interdisciplinary curriculum blending communication, media, and marketing with data science, machine learning, and AI ethics.
• Joint program advantage through collaboration between Annenberg and Viterbi School of Engineering.
• STEM-designated status qualifies international graduates for potential 24-month OPT extension.
• Career readiness for leadership roles in communication, content strategy, and data analytics.
• Strategic location in Los Angeles, a premiere hub for technology and media industries."
University of Southern California,M.S.,MS IN BIOMEDICAL ENGINEERING – BIOMEDICAL DATA ANALYTICS,工程学院,,https://viterbigradadmission.usc.edu/programs/masters/msprograms/biomedical-engineering/ms-bme-biomedical-data-analytics/,https://viterbigradadmission.usc.edu/programs/masters/msprograms/biomedical-engineering/ms-bme-biomedical-data-analytics/,,"• Unique Biomedical Data Analytics major applying computational methods for healthcare insights.
• STEM OPT eligible, providing extended post-graduation work opportunities for international students.
• Optional thesis or directed research available after the first semester for in-depth academic engagement.
• Focus on extracting valuable knowledge from hospital and laboratory data through computational methods."
University of Southern California,M.S.,Master of Science in Communication Data Science,工程学院,,https://viterbigradadmission.usc.edu/programs/masters/msprograms/data-science/master-communication-data-science/,https://viterbigradadmission.usc.edu/programs/masters/msprograms/data-science/master-communication-data-science/,,"• Cross-disciplinary joint degree from USC Annenberg and Viterbi School of Engineering, blending communication theory with data science expertise.
• STEM-designated program, preparing students for careers in communication, content strategy, and data analytics.
• Curriculum includes advanced courses in media, marketing, AI ethics, machine learning, and data visualization.
• Located in Los Angeles, providing unique opportunities within the global technology, media, and entertainment industries.
• Accessible to diverse academic backgrounds, welcoming students from both communication and computer science fields."
University of Southern California,M.S.,MS IN ENVIRONMENTAL DATA SCIENCE,工程学院,,https://viterbigradadmission.usc.edu/programs/masters/msprograms/data-science/ms-in-environmental-data-science/,https://viterbigradadmission.usc.edu/programs/masters/msprograms/data-science/ms-in-environmental-data-science/,,"• Interdisciplinary curriculum: integrates environmental science with data science for complex environmental challenges.
• Problem-based learning: opportunities with the Wrigley Institute for Environmental Studies for real-world application.
• Joint program: collaboration between Dornsife College Environmental Studies and Viterbi Engineering Data Science.
• Diverse career readiness: prepares for roles in government, research, consulting, conservation, and corporate monitoring.
• STEM-OPT eligibility: qualifies international students for the STEM OPT extension."
University of Southern California,M.S.,Spatial Data Science,工程学院,,https://gis.usc.edu/admissions/#mssds,https://gis.usc.edu/programs/masters-spatial-data-science/,,"• Interdisciplinary curriculum from Spatial Sciences Institute and Viterbi School of Engineering.
• Experiential learning via guest speakers, industry panels, and digital portfolio development.
• STEM-designated program (CIP code 11.0802), qualifying graduates for extended OPT.
• Prepares students to lead spatial data science teams and leverage emerging technologies."
University of Southern California,M.S.,M.S. in Spatial Economics and Data Analysis,文理学院,,https://gis.usc.edu/admissions/#msseda,https://gis.usc.edu/programs/masters-spatial-economics-and-data-analysis/,,"• Interdisciplinary curriculum combining applied economics, data science, and spatial sciences.
• STEM-designated program (CIP code 45.0702) offering practical application of economic theories within GIS.
• Project-based learning with opportunities for digital portfolio development.
• Career development via internships, industry events, and faculty research projects.
• Faculty expertise from both the Department of Economics and the Spatial Sciences Institute."
University of Southern California,M.S.,Public Policy Data Science,公共政策学院,,https://priceschool.usc.edu/mppds/admission/,https://priceschool.usc.edu/mppds/,,"• Joint program between Price School of Public Policy and Viterbi School of Engineering, integrating data science with public policy.
• Curriculum combines machine learning, data mining, and visualization with econometrics for evidence-based policymaking.
• Prepares graduates for data analyst and research roles across public, nonprofit, and private sectors.
• Focus on applying big data for social good in areas like urban planning, healthcare, and public safety.
• Scholarship opportunities available, including guaranteed scholarships for California residents.
"
"University of California, Irvine",MENG,CIVIL AND ENVIRONMENTAL ENGINEERING,工程学院,,https://meng.eng.uci.edu/apply/#admission%20requirements,https://meng.eng.uci.edu/explore/#concentrations,,"• Industry-driven Capstone Project: Interdisciplinary teams collaborate with corporate partners on real-world projects for practical technical skills and work experience.
• Dedicated Career Development: Proseminar course and career advisor provide practical skills in job search tactics, networking, and salary negotiation.
• Specialized Tracks: Civil and Environmental Engineering offers tracks in Sustainable Infrastructure and Data Science for smart cities and efficient energy networks.
• Flexible Program Length: Customizable program duration from nine to fifteen months, accommodating professional and academic needs."
Georgia Institute of Technology,MS,Master of Science in Urban Analytics,设计学院,,https://grad.gatech.edu/degree-programs/urban-analytics,https://planning.gatech.edu/master-science-urban-analytics,,"• Interdisciplinary curriculum: Leverages Georgia Tech's top-ranked strengths across City Planning, Industrial & Systems Engineering, Computational Science & Engineering, and Interactive Computing.
• Real-world capstone project: One-year program culminates in a summer capstone, providing hands-on experience working with clients on urban analytics challenges.
• STEM-designated program: Qualifies graduates for extended optional practical training (OPT), enhancing career opportunities in the U.S.
• Unique national program: First-of-its-kind program integrates four highly-ranked schools for a comprehensive, multidisciplinary approach to urban analytics."
"University of California, Santa Barbara",MEDS,MASTER OF ENVIRONMENTAL DATA SCIENCE,环境科学与管理学院,,https://www.graddiv.ucsb.edu/graduate-programs/departments/environmental-science-management-bren-school,https://bren.ucsb.edu/masters-programs/master-environmental-data-science,,"• Client-driven Capstone Projects: Provides real-world experience creating data-driven solutions for environmental businesses, agencies, or non-profits, building professional skills and networks.
• Immersive Data Science Curriculum: Features a six-week summer bootcamp followed by deep dives into spatial analysis, modeling, machine learning, and data visualization.
• Comprehensive Career Development: Offers personalized advising, workshops, job/internship opportunities, and access to a strong alumni network via BrenConnect.
• Significant Financial Aid Opportunities: Over 70% of MEDS students receive recruitment fellowships, with funding packages from $5,000 to full-ride scholarships.
• Interdisciplinary Collaboration: Joint endeavor with the National Center for Ecological Analysis & Synthesis (NCEAS), integrating environmental science with data science.
"
