大学英文名称,学位,专业英文名称,所属院系,招生网址,专业网址,所属院系（英文）
Harvard University,MS,Data Science SEAS,约翰·保尔森工程与应用科学学院,https://seas.harvard.edu/masters-data-science/how-apply,https://seas.harvard.edu/masters-data-science,
Harvard University,MS,Data Science,Harvard Extension School,https://extension.harvard.edu/registration-admissions/degree-program-admissions/how-to-apply-to-a-graduate-degree-program/,https://extension.harvard.edu/academics/programs/data-science-graduate-program/,
Stanford University,MS,Data Science,工程学院,https://icme.stanford.edu/academics-admission/icme-graduate-program-application,https://icme.stanford.edu/academics-admission/icme-master-science,
Stanford University,MS,Data Science,人文科学学院,https://statistics.stanford.edu/msadmissionsms/how-apply,https://statistics.stanford.edu/graduate-programs/statistics-ms/statistics-data-science-curriculum,
Yale University,MS,Statistics and Data Science,艺术与科学研究生院,https://gsas.yale.edu/programs-of-study/statistics-data-science,https://statistics.yale.edu/academics/terminal-ma-program,
Yale University,PH.D.,Statistics and Data Science,艺术与科学研究生院,https://gsas.yale.edu/programs-of-study/statistics-data-science,https://statistics.yale.edu/academics/phd-program,
University of Pennsylvania,PHD,Statistics and Data Science ,商学院,https://doctoral.wharton.upenn.edu/application-requirements/,https://doctoral.wharton.upenn.edu/statistics/,
University of Pennsylvania,MSE,Data Science,工程学院,https://gradadm.seas.upenn.edu/how-to-apply/,https://dats.seas.upenn.edu/,
Duke University,MS,Electrical and Computer Engineering-Machine Learning & Big Data,工程学院,https://gradschool.duke.edu/academics/programs-degrees/electrical-and-computer-engineering-ms/,https://ece.duke.edu/academics/masters/ms/,
Duke University,Meng,Electrical and Computer Engineering-Machine Learning & Big Data,工程学院,https://masters.pratt.duke.edu/apply/requirements/,https://ece.duke.edu/academics/masters/meng/,
Duke University,MS,Statistical Science（Data Science & Analytics ）,文理学院,https://gradschool.duke.edu/academics/programs-degrees/statistical-science-ms/,https://stat.duke.edu/ms/ms-focus-areas-tracks,
Duke University,MS,Interdisciplinary Data Science,文理学院,https://gradschool.duke.edu/academics/programs-degrees/master-interdisciplinary-data-science/,https://datascience.duke.edu/,
Duke University,MENG,Electrical and Computer Engineering,杜克昆山分校,https://iapse.dukekunshan.edu.cn/ece/admissions/how-to-apply/,https://iapse.dukekunshan.edu.cn/ece/,
" 
Brown University",MS,Data Science,研究生院,https://graduateprograms.brown.edu/graduate-program/data-science-scm,https://dsi.brown.edu/academics/masters-degree,
Northwestern University,MS,Master of Science in Machine Learning and Data Science,工程与应用科学学院,https://www.mccormick.northwestern.edu/machine-learning-data-science/admissions/,https://www.mccormick.northwestern.edu/machine-learning-data-science/overview/,
Northwestern University,MS,Statistics and Data Science,文理学院,https://statistics.northwestern.edu/graduate/ms-stat-program/how_to_apply.html,https://statistics.northwestern.edu/graduate/ms-stat-program/,
Johns Hopkins University,MSE,Data Science,工程学院,https://engineering.jhu.edu/ams/academics/graduate-studies/graduate-admissions-process-and-criteria/,https://engineering.jhu.edu/ams/academics/graduate-studies/ms-in-data-science/,
Johns Hopkins University,MSE,Data Science,工程学院,https://engineering.jhu.edu/ams/academics/graduate-studies/graduate-admissions-process-and-criteria/,https://engineering.jhu.edu/ams/academics/graduate-studies/ms-in-data-science/,
Johns Hopkins University,PHD,Applied Mathematics and Statistics,工程学院,https://engineering.jhu.edu/ams/academics/graduate-studies/graduate-admissions-process-and-criteria/,https://engineering.jhu.edu/ams/academics/graduate-studies/doctoral-program/,
Johns Hopkins University,PHD,Applied Mathematics and Statistics,工程学院,https://engineering.jhu.edu/ams/academics/graduate-studies/graduate-admissions-process-and-criteria/,https://engineering.jhu.edu/ams/academics/graduate-studies/doctoral-program/,
Johns Hopkins University,MSEM,Master of Science in Global Innovation and Leadership：Technical Concentrations,工程学院,https://msil.engineering.jhu.edu/admissions/,https://msil.engineering.jhu.edu/academics/technical-track/,
Columbia University,MS,Data Science,工程与应用科学研究生学院,https://datascience.columbia.edu/education/programs/m-s-in-data-science/admissions/,https://datascience.columbia.edu/education/programs/m-s-in-data-science/,
Columbia University,PhD,The PhD specialization in Data Science,工程与应用科学研究生学院,https://datascience.columbia.edu/education/programs/ph-d-with-a-specialization-in-data-science/,https://datascience.columbia.edu/education/programs/ph-d-with-a-specialization-in-data-science/,
Columbia University,MS,Applied Analytics,School of Professional Studies,https://sps.columbia.edu/admissions/masters-degree-applicants,https://sps.columbia.edu/academics/masters/applied-analytics,
Columbia University,MS,Applied Analytics,School of Professional Studies,https://sps.columbia.edu/admissions/masters-degree-applicants,https://sps.columbia.edu/academics/masters/applied-analytics,
Cornell University,M.Eng.,Operations Research and Information Engineering ：Data Analytics (DA),工程学院,https://gradschool.cornell.edu/academics/fields-of-study/subject/operations-research-and-information-engineering/operations-research-and-information-engineering-meng-ithaca/,https://www.orie.cornell.edu/orie/programs/meng-degree-ithaca,
Cornell University,M.Eng.,Operations Research and Information Engineering ：Data Analytics (DA),工程学院,https://gradschool.cornell.edu/academics/fields-of-study/subject/operations-research-and-information-engineering/operations-research-and-information-engineering-meng-ithaca/,https://www.orie.cornell.edu/orie/programs/meng-degree-ithaca,
Cornell University,M.Eng.,Operations Research and Information Engineering (M.Eng.) (Cornell NYC Tech),康奈尔科技学院,https://tech.cornell.edu/admissions/meng-application/,https://tech.cornell.edu/programs/masters-programs/master-in-operations-research-and-information-engineering/,
Cornell University,M.P.S.,Information Science (M.P.S.) , 计算与信息科学学院,https://gradschool.cornell.edu/academics/fields-of-study/subject/information-science/information-science-mps-ithaca/,https://infosci.cornell.edu/masters/mps,
Cornell University,Ph.D.,Information Science (Ph.D.) , 计算与信息科学学院,https://gradschool.cornell.edu/academics/fields-of-study/subject/information-science/information-science-phd-ithaca/,https://infosci.cornell.edu/phd,
Cornell University,M.P.S.,Applied Statistics (Data Science) , 计算与信息科学学院,https://gradschool.cornell.edu/academics/fields-of-study/subject/statistics/applied-statistics-mps-as-ithaca/,https://stat.cornell.edu/academics/mps-data-science-and-applied-statistics,
Cornell University,M.P.S.,Applied Statistics (Data Science) , 计算与信息科学学院,https://gradschool.cornell.edu/academics/fields-of-study/subject/statistics/applied-statistics-mps-as-ithaca/,https://stat.cornell.edu/academics/mps-data-science-and-applied-statistics,
University of Chicago,MScA,Applied Data Science,物理科学部,https://datascience.uchicago.edu/education/masters-programs/ms-in-applied-data-science/how-to-apply/,https://datascience.uchicago.edu/education/masters-programs/ms-in-applied-data-science/,
University of Chicago,MS,Data Science ,物理科学部,https://codas.uchicago.edu/how-to-apply/,https://codas.uchicago.edu/academics/ms-data-science/,
University of Chicago,Ph.D,Data Science ,物理科学部,https://codas.uchicago.edu/how-to-apply/,https://codas.uchicago.edu/academics/phd-in-data-science/,
"University of California, Berkeley",M.Eng,Data Science  ,电子工程和计算机科学系,https://grad.berkeley.edu/program/electrical-engineering-computer-sciences-meng/,https://eecs.berkeley.edu/academics/graduate/industry-programs/meng/,
"University of California, Berkeley",MAna,Master of Analytics,工业工程与运筹学系,https://grad.berkeley.edu/program/master-of-analytics-manlytx/,https://analytics.berkeley.edu/,
"University of California, Los Angeles",MENG,Data Science ,工程与应用科学学院,https://grad.ucla.edu/programs/school-of-engineering-and-applied-science/engineering-master-of-engineering/,https://www.meng.ucla.edu/,
"University of California, Los Angeles",M.A.S.D.S,Master of Applied Statistics and Data Science,物理科学学院,https://grad.ucla.edu/programs/physical-sciences/statistics-and-data-science-department/statistics-master-of-applied-statistics-and-data-science/,https://master.stat.ucla.edu/,
Rice University,MDS,Master of Data Science,工程学院,https://cs.rice.edu/academics/graduate-programs/admission/graduate-program-application,https://cs.rice.edu/academics/graduate-programs/professional-master-data-science,
Vanderbilt University,MS,Data Science ,文理学院,https://www.vanderbilt.edu/datascience/msprogram/admissions/,https://www.vanderbilt.edu/datascience/msprogram/,
" 
University of Notre Dame",PHD,PHD IN ANALYTICS,商学院,https://graduateschool.nd.edu/degree-programs/analytics-phd---doctoral/,https://mendoza.nd.edu/research-faculty/academic-departments/phd-analytics/,
" 
University of Notre Dame",M.S.,Applied and Computational Mathematics ,理学院,https://graduateschool.nd.edu/degree-programs/applied-and-computational-mathematics-and-statistics-ms---masters-professional/,https://acms.nd.edu/graduate/professional-masters-programs/,
" 
University of Notre Dame",M.S.,Applied and Computational Mathematics ,理学院,https://graduateschool.nd.edu/degree-programs/applied-and-computational-mathematics-and-statistics-ms---masters-professional/,https://acms.nd.edu/graduate/professional-masters-programs/,
"University of Michigan, Ann Arbor",MENG,Data Science and Machine Learning,工程学院,https://ece.engin.umich.edu/academics/graduate-programs/prospective-grad-students/apply-for-grad/apply-for-meng/,https://ece.engin.umich.edu/academics/graduate-programs/prospective-grad-students/about-the-master-of-engineering-meng-program/,
"University of Michigan, Ann Arbor",Ph.D,Industrial and Operations Engineering,工程学院,https://ioe.engin.umich.edu/graduate/phd-program/phd-admissions-planning/,https://ioe.engin.umich.edu/graduate/phd-program/,
"University of Michigan, Ann Arbor",MS,Industrial and Operations Engineering,工程学院,https://ioe.engin.umich.edu/graduate/masters-program/masters-admissions-planning/,https://ioe.engin.umich.edu/graduate/masters-program/masters-program-curriculum/,
"University of Michigan, Ann Arbor",MSE,Industrial and Operations Engineering,工程学院,https://ioe.engin.umich.edu/graduate/masters-program/masters-admissions-planning/,https://ioe.engin.umich.edu/graduate/masters-program/masters-program-curriculum/,
"University of Michigan, Ann Arbor",MS,Industrial and Operations Engineering,工程学院,https://ioe.engin.umich.edu/graduate/masters-program/masters-admissions-planning/,https://ioe.engin.umich.edu/graduate/masters-program/masters-program-curriculum/,
"University of Michigan, Ann Arbor",MSE,Industrial and Operations Engineering,工程学院,https://ioe.engin.umich.edu/graduate/masters-program/masters-admissions-planning/,https://ioe.engin.umich.edu/graduate/masters-program/masters-program-curriculum/,
"University of Michigan, Ann Arbor",Ph.D,Information,信息学院,https://www.si.umich.edu/programs/phd-information/how-do-i-apply,https://www.si.umich.edu/programs/phd-information,
"University of Michigan, Ann Arbor",MS,Information,信息学院,https://www.si.umich.edu/programs/master-science-information/how-do-i-apply,https://www.si.umich.edu/programs/master-science-information,
"University of Michigan, Ann Arbor",MS,Data Science ,文化、科学与艺术学院,https://lsa.umich.edu/stats/masters_students/prospective-masters-students/data-science-masters-application.html,https://lsa.umich.edu/stats/masters_students/mastersprograms/data-science-masters-program.html,
"University of North Carolina, Chapel Hill",MS,"MS program in Statistics, Analytics and Data Science (STANDS)",文理学院,https://gradschool.sites.unc.edu/statistics-and-operations-research/,https://stor.unc.edu/ms/program/,
Georgetown University,M.S.,Master of Science in Data Science and Analytics,文理研究生院,https://grad.georgetown.edu/data-science-analytics/,https://analytics.georgetown.edu/,
Georgetown University,M.S.,Mathematics & Statistics ,文理研究生院,https://grad.georgetown.edu/mathematics-and-statistics/,https://mathstat.georgetown.edu/graduate/,
Georgetown University,M.S.,Mathematics & Statistics ,文理研究生院,https://grad.georgetown.edu/mathematics-and-statistics/,https://mathstat.georgetown.edu/graduate/,
Emory University,MS,Quantitative Theory and Methods,研究生院,https://quantitative.emory.edu/academics/masters/Who-Should-Apply.html,https://quantitative.emory.edu/academics/masters/index.html,
University of Virginia,PHD,Data Analytics and Decision Science,达顿商学院,https://www.darden.virginia.edu/phd/application-requirements,https://www.darden.virginia.edu/phd/data-analytics-and-decision-science,
University of Virginia,MSDS,Data Science,数据科学学院,https://datascience.virginia.edu/msds/admissions,https://datascience.virginia.edu/degrees/msds-residential,
University of Virginia,PHD,Data Science,数据科学学院,https://datascience.virginia.edu/phd/admissions,https://datascience.virginia.edu/degrees/phd,
Carnegie Mellon University,MITS,Master of Information Technology Strategy (MITS),人文与社会科学学院,https://www.cmu.edu/cmist/academics/graduate-programs/mits/mits-admissions.html,https://www.cmu.edu/cmist/academics/graduate-programs/msirp/index.html,
Carnegie Mellon University,MADS,Master of Science in Applied Data Science (MADS),人文与社会科学学院,https://www.cmu.edu/dietrich/statistics-datascience/academics/mads/how-to-apply.html,https://www.cmu.edu/dietrich/statistics-datascience/academics/mads/index.html,
Carnegie Mellon University,MISM,Information Systems Management（BUSINESS INTELLIGENCE & DATA ANALYTICS）,信息系统与公共政策学院 ,https://www.heinz.cmu.edu/admissions/information-systems-management/,https://www.heinz.cmu.edu/programs/information-systems-management-master/,
Carnegie Mellon University,MISM,Information Systems Management（BUSINESS INTELLIGENCE & DATA ANALYTICS）,信息系统与公共政策学院 ,https://www.heinz.cmu.edu/admissions/information-systems-management/,https://www.heinz.cmu.edu/programs/information-systems-management-master/,
Carnegie Mellon University,MS,MS in DATA ANALYTICS FOR SCIENCE,科学学院,https://www.cmu.edu/mcs/grad/programs/ms-data-analytics/application-process.html,https://www.cmu.edu/mcs/grad/programs/ms-data-analytics/index.html,
Carnegie Mellon University,MCDS,Computational Data Science,计算机科学学院,https://mcds.cs.cmu.edu/apply-mcds-program,https://mcds.cs.cmu.edu/learn-us-requirements,
Carnegie Mellon University,MCDS,Computational Data Science,计算机科学学院,https://mcds.cs.cmu.edu/apply-mcds-program,https://mcds.cs.cmu.edu/learn-us-requirements,
Washington University in St. Louis,MS,MS in Engineering Data Analytics & Statistics,工程学院,https://engineering.wustl.edu/academics/graduate-admissions/application-checklist.html,https://ese.wustl.edu/academics/graduate-programs/masters-and-certificates/MS-in-Data-Analytics-Statistics.html,
Washington University in St. Louis,MS,MS in Engineering Data Analytics & Statistics,工程学院,https://engineering.wustl.edu/academics/graduate-admissions/application-checklist.html,https://ese.wustl.edu/academics/graduate-programs/masters-and-certificates/MS-in-Data-Analytics-Statistics.html,
Washington University in St. Louis,PHD,Computational & Data Sciences ,工程学院,https://engineering.wustl.edu/academics/graduate-admissions/application-checklist.html,https://datasciences.wustl.edu/,
Washington University in St. Louis,MS,Master of Data Analytics & Applications,继续和专业教育学院,https://caps.washu.edu/student-success/graduate-application-requirements/,https://caps.washu.edu/lp/master-of-data-analytics-applications/,
Washington University in St. Louis,MS,Master of Data Analytics & Applications,继续和专业教育学院,https://caps.washu.edu/student-success/graduate-application-requirements/,https://caps.washu.edu/lp/master-of-data-analytics-applications/,
University of Florida,M.S.,Information Systems and Operations Management：Data Science,商学院,https://warrington.ufl.edu/master-of-science-in-information-systems-and-operations-management/admissions/,https://warrington.ufl.edu/master-of-science-in-information-systems-and-operations-management/program-options/,
University of Florida,M.S.,Information Systems and Operations Management：Data Science,商学院,https://warrington.ufl.edu/master-of-science-in-information-systems-and-operations-management/admissions/,https://warrington.ufl.edu/master-of-science-in-information-systems-and-operations-management/program-options/,
University of Florida,M.S.,Information Systems and Operations Management：Data Science,商学院,https://warrington.ufl.edu/master-of-science-in-information-systems-and-operations-management/admissions/,https://warrington.ufl.edu/master-of-science-in-information-systems-and-operations-management/program-options/,
University of Florida,M.S.,Information Systems and Operations Management：Data Science,商学院,https://warrington.ufl.edu/master-of-science-in-information-systems-and-operations-management/admissions/,https://warrington.ufl.edu/master-of-science-in-information-systems-and-operations-management/program-options/,
"University of California, Davis",MS,Statistics- DATA SCIENCE TRACK (48 units),文学与科学学院,https://statistics.ucdavis.edu/grad/admissions,https://statistics.ucdavis.edu/grad/ms,
"University of California, San Diego",PhD,Data Science,数据科学研究所,https://datascience.ucsd.edu/graduate/graduate-admissions/,https://datascience.ucsd.edu/graduate/phd-program/,
"University of California, San Diego",MS,Data Science,数据科学研究所,https://datascience.ucsd.edu/graduate/graduate-admissions/,https://datascience.ucsd.edu/graduate/ms-program/,
"University of California, San Diego",MS,Machine Learning and Data Science ,工程学院,https://www.ece.ucsd.edu/graduate/graduate-admissions,https://www.ece.ucsd.edu/graduate/information-new-ece-graduate-students,
"University of California, San Diego",PHD,Machine Learning and Data Science ,工程学院,https://www.ece.ucsd.edu/graduate/graduate-admissions,https://www.ece.ucsd.edu/graduate/information-new-ece-graduate-students,
University of Southern California,PhD,Business Administration( Data Sciences & Operations),商学院,https://www.marshall.usc.edu/programs/graduate-programs/phd-program/admissions,https://www.marshall.usc.edu/programs/graduate-programs/phd-program/data-sciences-operations,
University of Southern California,M.S.,Computer Science (Data Science),工程学院,https://viterbigradadmission.usc.edu/programs/masters/msprograms/computer-science/ms-cs-data-science/,https://viterbigradadmission.usc.edu/programs/masters/msprograms/computer-science/ms-cs-data-science/,
University of Southern California,M.S.,Computer Science (Data Science),工程学院,https://viterbigradadmission.usc.edu/programs/masters/msprograms/computer-science/ms-cs-data-science/,https://viterbigradadmission.usc.edu/programs/masters/msprograms/computer-science/ms-cs-data-science/,
University of Southern California,M.S.,Applied Data Science,工程学院,https://viterbigradadmission.usc.edu/programs/masters/msprograms/data-science/ms-applied-data-science/,https://viterbigradadmission.usc.edu/programs/masters/msprograms/data-science/ms-applied-data-science/,
University of Southern California,M.S.,Applied Data Science,工程学院,https://viterbigradadmission.usc.edu/programs/masters/msprograms/data-science/ms-applied-data-science/,https://viterbigradadmission.usc.edu/programs/masters/msprograms/data-science/ms-applied-data-science/,
University of Southern California,M.S.,ECE-Machine Learning and Data Science,工程学院,https://viterbigradadmission.usc.edu/programs/masters/msprograms/electrical-computer-engineering/ms-in-electrical-and-computer-engineering-machine-learning-and-data-science/,https://viterbigradadmission.usc.edu/programs/masters/msprograms/electrical-computer-engineering/ms-in-electrical-and-computer-engineering-machine-learning-and-data-science/,
University of Southern California,M.S.,ECE-Machine Learning and Data Science,工程学院,https://viterbigradadmission.usc.edu/programs/masters/msprograms/electrical-computer-engineering/ms-in-electrical-and-computer-engineering-machine-learning-and-data-science/,https://viterbigradadmission.usc.edu/programs/masters/msprograms/electrical-computer-engineering/ms-in-electrical-and-computer-engineering-machine-learning-and-data-science/,
University of Southern California,M.S.,Analytics,工程学院,https://viterbigradadmission.usc.edu/programs/masters/msprograms/industrial-systems-engineering/ms-analytics/,https://viterbigradadmission.usc.edu/programs/masters/msprograms/industrial-systems-engineering/ms-analytics/,
University of Southern California,M.S.,Analytics,工程学院,https://viterbigradadmission.usc.edu/programs/masters/msprograms/industrial-systems-engineering/ms-analytics/,https://viterbigradadmission.usc.edu/programs/masters/msprograms/industrial-systems-engineering/ms-analytics/,
University of Southern California,M.S.,Mathematical Data Science M.S.,文理学院,https://dornsife.usc.edu/math-data-science/admissions-2/,https://dornsife.usc.edu/math-data-science/,
"University of Texas, Austin", Ph.D.,Electrical and Computer Engineering ,工程学院,https://www.ece.utexas.edu/academics/graduate/admissions,https://www.ece.utexas.edu/academics/graduate/degrees,
"University of Texas, Austin", Ph.D.,Electrical and Computer Engineering ,工程学院,https://www.ece.utexas.edu/academics/graduate/admissions,https://www.ece.utexas.edu/academics/graduate/degrees,
"University of Texas, Austin",MSE ,Electrical and Computer Engineering,工程学院,https://www.ece.utexas.edu/academics/graduate/admissions,https://www.ece.utexas.edu/academics/graduate/degrees,
"University of Texas, Austin",MSE ,Electrical and Computer Engineering,工程学院,https://www.ece.utexas.edu/academics/graduate/admissions,https://www.ece.utexas.edu/academics/graduate/degrees,
"University of California, Irvine",MDS,Master of Data Science,信息与计算机科学学院,https://mds.ics.uci.edu/overview/admissions/,https://mds.ics.uci.edu/,
Georgia Institute of Technology,MS,Analytics,商学院,https://www.analytics.gatech.edu/admissions,https://www.analytics.gatech.edu/,
"University of California, Santa Barbara",MA,Statistics-Data Science,文理学院,https://www.graddiv.ucsb.edu/graduate-programs/departments/statistics,https://www.pstat.ucsb.edu/graduate/ma,
"University of California, Santa Barbara",MA,Statistics-Data Science,文理学院,https://www.graddiv.ucsb.edu/graduate-programs/departments/statistics,https://www.pstat.ucsb.edu/graduate/ma,
"University of California, Santa Barbara",MA,Statistics-Data Science,文理学院,https://www.graddiv.ucsb.edu/graduate-programs/departments/statistics,https://www.pstat.ucsb.edu/graduate/ma,
New York University,Ph.D,Data Science ,文理研究生院,https://gsas.nyu.edu/admissions/arc/programs/data-science.html,https://cds.nyu.edu/phd-curriculum/,
New York University,MS,Data Science ,文理研究生院,https://gsas.nyu.edu/admissions/arc/programs/data-science.html,https://cds.nyu.edu/masters-in-data-science-curriculum/,
New York University,MS,Data Science （Industry Concentration）,文理研究生院,https://gsas.nyu.edu/admissions/arc/programs/data-science.html,https://cds.nyu.edu/masters-in-data-science-industry-concentration/,
New York University,MS,MS in Data Analytics & Business Computing,商学院,https://stern.shanghai.nyu.edu/en/admissions/ms-data-analytics-and-business-computing/application-checklist,https://stern.shanghai.nyu.edu/en/program/ms-data-analytics-business-computing,
"University of Wisconsin, Madison",M.S.,MS – Data Engineering,文理学院,https://guide.wisc.edu/graduate/computer-sciences/data-engineering-ms/#admissionstext,https://www.cs.wisc.edu/our-graduate-degrees-programs/,
"University of Wisconsin, Madison",MS,Statistics and Data Science,文理学院,https://guide.wisc.edu/graduate/statistics/statistics-ms/statistics-statistics-data-science-ms/#admissionstext,https://stat.wisc.edu/graduate-admissions/data-science-option/,
"University of Wisconsin, Madison",MS,Statistics and Data Science,文理学院,https://guide.wisc.edu/graduate/statistics/statistics-ms/statistics-statistics-data-science-ms/#admissionstext,https://stat.wisc.edu/graduate-admissions/data-science-option/,
"University of Wisconsin, Madison",MS,Data Science,文理学院,https://guide.wisc.edu/graduate/statistics/data-science-ms/#admissionstext,https://stat.wisc.edu/graduate-admissions/ms-datascience/,
"University of Illinois, Urbana-Champaign",MS,Data Science + CEE M.S.,工程学院,https://cee.illinois.edu/admissions/graduate/admission-requirements-and-process,https://cee.illinois.edu/academics/graduate-programs/ms-degree-and-curriculum,
"University of Illinois, Urbana-Champaign",MS,Data Science + CEE M.S.,工程学院,https://cee.illinois.edu/admissions/graduate/admission-requirements-and-process,https://cee.illinois.edu/academics/graduate-programs/ms-degree-and-curriculum,
"University of Illinois, Urbana-Champaign",MS,MS in Industrial Engineering with the Advanced Analytics Concentration,工程学院,https://ise.illinois.edu/graduate/admissions/international-applicants,https://ise.illinois.edu/graduate/degrees-and-programs/advanced-analytics-concentration,
"University of Illinois, Urbana-Champaign",MS,MS in Industrial Engineering with the Advanced Analytics Concentration,工程学院,https://ise.illinois.edu/graduate/admissions/international-applicants,https://ise.illinois.edu/graduate/degrees-and-programs/advanced-analytics-concentration,
"University of Illinois, Urbana-Champaign",,Data Science & Engineering (DSE),工程学院,,https://cse.illinois.edu/cse-educational-programs/dse-graduate-concentration/,
