大学英文名称,学位,专业英文名称,所属院系,所属院系（英文）,招生网址,专业网址,所属院系网址,所属院系网址
Princeton University,Ph.D. ,Applied and Computational Mathematics,应用与计算数学,,https://gradschool.princeton.edu/academics/degrees-requirements/fields-study/applied-and-computational-math,https://www.pacm.princeton.edu/graduate,,
Princeton University,Ph.D. ,Mathematics,数学系,,https://gradschool.princeton.edu/academics/degrees-requirements/fields-study/mathematics,https://www.math.princeton.edu/graduate,,
Massachusetts Institute of Technology,PhD,Mathematics,数学系,,https://oge.mit.edu/programs/mathematics/,https://math.mit.edu/academics/grad/index.html,,
Massachusetts Institute of Technology,ScD,Mathematics,数学系,,https://oge.mit.edu/programs/mathematics/,https://math.mit.edu/academics/grad/index.html,,
Harvard University,PhD,Applied Mathematics SEAS,约翰·保尔森工程与应用科学学院,,https://seas.harvard.edu/applied-mathematics/graduate-program/how-apply,https://seas.harvard.edu/applied-mathematics/phd-applied-mathematics,,
Harvard University,PhD,Mathematics,文理研究生院,,https://gsas.harvard.edu/program/mathematics,https://www.math.harvard.edu/graduate/,,
Stanford University,PhD,Computational and Mathematical Engineering ,工程学院,,https://icme.stanford.edu/academics-admission/icme-graduate-program-application,https://icme.stanford.edu/academics-admission/icme-doctor-philosophy,,
Stanford University,MS,Computational and Mathematical Engineering ,工程学院,,https://icme.stanford.edu/academics-admission/icme-graduate-program-application,https://icme.stanford.edu/academics-admission/icme-master-science,,
Stanford University,MS,Mathematical and Computational Finance,工程学院,,https://icme.stanford.edu/academics-admission/icme-graduate-program-application,https://icme.stanford.edu/academics-admission/icme-master-science,,
Stanford University,PhD,Mathematics ,人文科学学院,,https://mathematics.stanford.edu/academics/graduate-admissions,https://mathematics.stanford.edu/academics/graduate-students/phd-program,,
Yale University,Ph.D,Applied Mathematics,艺术与科学研究生院,,https://gsas.yale.edu/programs-of-study/applied-mathematics,https://applied.math.yale.edu/graduate-program-0,,
Yale University,PH.D.,Mathematics,艺术与科学研究生院,,https://gsas.yale.edu/programs-of-study/mathematics,https://math.yale.edu/graduate-programs,,
University of Pennsylvania,MA,Applied Math and Computational Science,文理学院,,https://amcs.upenn.edu/admission/,https://amcs.upenn.edu/masters-program/,,
University of Pennsylvania,PHD,Applied Math and Computational Science,文理学院,,https://amcs.upenn.edu/admission/,https://amcs.upenn.edu/phd-program/,,
University of Pennsylvania,AM,Mathematics,文理学院,,https://www.math.upenn.edu/graduate/admissions/how-apply,https://www.math.upenn.edu/graduate/program-description,,
University of Pennsylvania,M.Phil,Mathematics,文理学院,,https://www.math.upenn.edu/graduate/admissions/how-apply,https://www.math.upenn.edu/graduate/program-description,,
University of Pennsylvania,phd+ms,Mathematics,文理学院,,https://www.math.upenn.edu/graduate/admissions/how-apply,https://www.math.upenn.edu/graduate/csma,,
University of Pennsylvania,phd+ms,Mathematics,文理学院,,https://www.math.upenn.edu/graduate/admissions/how-apply,https://www.math.upenn.edu/graduate/statma,,
University of Pennsylvania,PHD,Mathematics,文理学院,,https://www.math.upenn.edu/graduate/admissions/how-apply,https://www.math.upenn.edu/graduate/program-description#phd,,
Duke University,PHD,Mathematics,文理学院,,https://gradschool.duke.edu/academics/programs-degrees/mathematics/,https://math.duke.edu/graduate,,
California Institute of Technology,PHD,Applied and Computational Mathematics,工程与应用科学学部,,https://www.cms.caltech.edu/academics/grad,https://www.cms.caltech.edu/academics/grad/grad_acm,,
California Institute of Technology,PHD,Computing + Mathematical Sciences,工程与应用科学学部,,https://www.cms.caltech.edu/academics/grad,https://www.cms.caltech.edu/academics/grad/grad_cms,,
California Institute of Technology,PHD,Mathematics,物理，数学和天文学系,,https://www.pma.caltech.edu/admissions-and-financial-support,https://www.pma.caltech.edu/research-and-academics/mathematics/math-graduate-studies,,
" 
Brown University",PHD,Applied Mathematics,研究生院,,https://graduateprograms.brown.edu/graduate-program/applied-mathematics-phd,https://appliedmath.brown.edu/graduate,,
" 
Brown University",PHD,Mathematics,研究生院,,https://graduateprograms.brown.edu/graduate-program/mathematics-phd,https://www.brown.edu/academics/math/graduate,,
Northwestern University,MS,MS in Engineering Sciences and Applied Mathematics,工程与应用科学学院,,https://www.mccormick.northwestern.edu/applied-math/academics/graduate/masters/admissions.html,https://www.mccormick.northwestern.edu/applied-math/academics/graduate/masters/,,
Northwestern University,PhD,Engineering Sciences and Applied Mathematics,工程与应用科学学院,,https://www.mccormick.northwestern.edu/applied-math/academics/graduate/phd/admissions.html,https://www.mccormick.northwestern.edu/applied-math/academics/graduate/phd/,,
Northwestern University,PhD,Mathematics,文理学院,,https://www.math.northwestern.edu/graduate/application.html,https://www.math.northwestern.edu/graduate/,,
Johns Hopkins University,PHD,Mathematics,艺术与科学学院,,https://mathematics.jhu.edu/graduate/admissions/,https://mathematics.jhu.edu/graduate/,,
Johns Hopkins University,MSE,Applied Mathematics and Statistics,工程学院,,https://engineering.jhu.edu/ams/academics/graduate-studies/graduate-admissions-process-and-criteria/,https://engineering.jhu.edu/ams/academics/graduate-studies/ms-in-applied-mathematics-and-statistics/,,
Johns Hopkins University,MSE,Applied Mathematics and Statistics,工程学院,,https://engineering.jhu.edu/ams/academics/graduate-studies/graduate-admissions-process-and-criteria/,https://engineering.jhu.edu/ams/academics/graduate-studies/ms-in-applied-mathematics-and-statistics/,,
Johns Hopkins University,PHD,Applied Mathematics and Statistics,工程学院,,https://engineering.jhu.edu/ams/academics/graduate-studies/graduate-admissions-process-and-criteria/,https://engineering.jhu.edu/ams/academics/graduate-studies/doctoral-program/,,
Johns Hopkins University,PHD,Applied Mathematics and Statistics,工程学院,,https://engineering.jhu.edu/ams/academics/graduate-studies/graduate-admissions-process-and-criteria/,https://engineering.jhu.edu/ams/academics/graduate-studies/doctoral-program/,,
Columbia University,MS,Applied Mathematics,工程与应用科学研究生学院,,https://www.gradengineering.columbia.edu/graduate-admissions/application-requirements,https://www.apam.columbia.edu/applied-mathematics-graduate-programs,,
Columbia University,MS,Applied Mathematics,工程与应用科学研究生学院,,https://www.gradengineering.columbia.edu/graduate-admissions/application-requirements,https://www.apam.columbia.edu/applied-mathematics-graduate-programs,,
Columbia University,MS/PHD,Applied Mathematics,工程与应用科学研究生学院,,https://www.gradengineering.columbia.edu/graduate-admissions/application-requirements,https://www.apam.columbia.edu/applied-mathematics-graduate-programs,,
Columbia University,PhD,Applied Mathematics,工程与应用科学研究生学院,,https://www.gradengineering.columbia.edu/graduate-admissions/application-requirements,https://www.apam.columbia.edu/applied-mathematics-graduate-programs,,
Columbia University,PhD,Mathematics,艺术与科学研究生院,,https://www.gsas.columbia.edu/content/mathematics,https://www.math.columbia.edu/programs-math/graduate-program/,,
Columbia University,MA,Mathematics with a Specialization in the Mathematics of Finance,艺术与科学研究生院,,https://www.gsas.columbia.edu/content/mathematics-specialization-mathematics-finance,https://www.math.columbia.edu/mafn/,,
Cornell University,Ph.D.,Applied Mathematics (Ph.D.) ,应用数学中心,,https://gradschool.cornell.edu/academics/fields-of-study/subject/applied-mathematics/applied-mathematics-phd-ithaca/,https://www.cam.cornell.edu/cam/academics/phd-program,,
Cornell University,Ph.D.,Mathematics (Ph.D.) ,文理学院,,https://gradschool.cornell.edu/academics/fields-of-study/subject/mathematics/mathematics-phd-ithaca/,https://math.cornell.edu/phd,,
University of Chicago,MS,Computational and Applied Mathematics,物理科学部,,https://voices.uchicago.edu/cammasters/prospectivestudents/,https://voices.uchicago.edu/cammasters/,,
University of Chicago,Ph.D,Computational and Applied Mathematics,物理科学部,,https://cam.uchicago.edu/academics/how-to-apply/,https://cam.uchicago.edu/academics/graduate-programs/phd-program/,,
University of Chicago,Joint  PhD,Ph. D. in Mathematics and Computer Science,物理科学部,,https://cs.uchicago.edu/academics/phd/joint-math-cs-phd/,https://cs.uchicago.edu/academics/phd/joint-math-cs-phd/,,
University of Chicago,Ph.D,Mathematics,物理科学部,,https://mathematics.uchicago.edu/graduate/mathematics-phd-program/how-to-apply/,https://mathematics.uchicago.edu/graduate/mathematics-phd-program/,,
University of Chicago,MS-PSD,Mathematics,物理科学部,,https://mspsd.uchicago.edu/application-information/,https://mspsd.uchicago.edu/,,
"University of California, Berkeley",Ph.D.,Applied Mathematics,数学系,,https://grad.berkeley.edu/program/applied-mathematics/,https://math.berkeley.edu/graduate/phd-program,,
"University of California, Berkeley",Ph.D,Mathematics,数学系,,https://grad.berkeley.edu/program/mathematics/,https://math.berkeley.edu/graduate/phd-program,,
"University of California, Berkeley",Ph.D.,Applied Science & Technology,应用科学与技术项目,,https://grad.berkeley.edu/program/applied-science-tech/,https://ast.berkeley.edu/,,
"University of California, Berkeley",Ph.D.,Logic & the Methodology of Science,逻辑与科学方法论小组,,https://grad.berkeley.edu/program/logic-the-methodology-of-science/,https://logic.berkeley.edu/,,
"University of California, Los Angeles",PHD,Mathematics,物理科学学院,,https://grad.ucla.edu/programs/physical-sciences/mathematics/,https://ww3.math.ucla.edu/overview-2/,,
"University of California, Los Angeles",MA,Mathematics,物理科学学院,,https://grad.ucla.edu/programs/physical-sciences/mathematics/,https://ww3.math.ucla.edu/overview-2/,,
Rice University,Ph.D.,Computational and Applied Mathematics,工程学院,,https://cmor.rice.edu/academics/graduate-programs/graduate-admissions,https://cmor.rice.edu/academics/graduate-programs/phd-program,,
Rice University,M.C.A.A.M.,The Professional Master's of Computational and Applied Mathematics,工程学院,,https://cmor.rice.edu/academics/graduate-programs/graduate-admissions,https://cmor.rice.edu/academics/graduate-programs/professional-masters-programs,,
Rice University,PHD,Mathematics,自然科学学院,,https://math.rice.edu/application-procedure,https://math.rice.edu/graduate-program,,
Dartmouth College,PHD,Mathematics,研究生院,,https://math.dartmouth.edu/graduate-students/appl-info/,https://math.dartmouth.edu/graduate-students/,,
Vanderbilt University,MA,Mathematics,文理学院,,https://as.vanderbilt.edu/math/graduate/info_for_prospective_students/,https://as.vanderbilt.edu/math/graduate/about/,,
Vanderbilt University,PHD,Mathematics,文理学院,,https://as.vanderbilt.edu/math/graduate/info_for_prospective_students/,https://as.vanderbilt.edu/math/graduate/about/,,
" 
University of Notre Dame",M.S.,Applied and Computational Mathematics ,理学院,,https://graduateschool.nd.edu/degree-programs/applied-and-computational-mathematics-and-statistics-ms---masters-professional/,https://acms.nd.edu/graduate/professional-masters-programs/,,
" 
University of Notre Dame",M.S.,Applied and Computational Mathematics ,理学院,,https://graduateschool.nd.edu/degree-programs/applied-and-computational-mathematics-and-statistics-ms---masters-professional/,https://acms.nd.edu/graduate/professional-masters-programs/,,
" 
University of Notre Dame",Ph.D.,Applied and Computational Mathematics and Statistics,理学院,,https://graduateschool.nd.edu/degree-programs/applied-and-computational-mathematics-and-statistics-phd---doctoral/,https://acms.nd.edu/graduate/phd-programs/,,
" 
University of Notre Dame",Ph.D.,Mathematics,理学院,,https://graduateschool.nd.edu/degree-programs/mathematics-phd---doctoral/,https://math.nd.edu/graduate/,,
"University of Michigan, Ann Arbor",Ph.D,Applied and Interdisciplinary Mathematics,文化、科学与艺术学院,,https://lsa.umich.edu/math/graduates/Admissions/applying.html,https://lsa.umich.edu/math/graduates/GraduateStudentHandbook/applied-and-interdisciplinary-mathematics--aim-.html,,
"University of Michigan, Ann Arbor",Ph.D,Mathematics,文化、科学与艺术学院,,https://lsa.umich.edu/math/graduates/Admissions/applying.html,https://lsa.umich.edu/math/graduates/GraduateStudentHandbook/ph-d-programs1.html,,
"University of Michigan, Ann Arbor",MS,Applied and Interdisciplinary Mathematics,文化、科学与艺术学院,,https://lsa.umich.edu/math/graduates/Admissions/applying1.html,https://lsa.umich.edu/math/graduates/GraduateStudentHandbook/aim-masters.html,,
"University of Michigan, Ann Arbor",MS,General Mathematics Master's Program,文化、科学与艺术学院,,https://lsa.umich.edu/math/graduates/Admissions/applying1.html,https://lsa.umich.edu/math/graduates/GraduateStudentHandbook/mathematics-master-s-degree.html,,
"University of Michigan, Ann Arbor",MS,Applied Mathematics Master's Program,文化、科学与艺术学院,,https://lsa.umich.edu/math/graduates/Admissions/applying1.html,https://lsa.umich.edu/math/graduates/GraduateStudentHandbook/mathematics-master-s-degree.html,,
"University of Michigan, Ann Arbor",MS,Actuarial Mathematics Master's Program,文化、科学与艺术学院,,https://lsa.umich.edu/math/graduates/Admissions/applying1.html,https://lsa.umich.edu/math/graduates/GraduateStudentHandbook/mathematics-master-s-degree.html,,
"University of North Carolina, Chapel Hill",Ph.D,Mathematics,文理学院,,https://gradschool.sites.unc.edu/mathematics/,https://math.unc.edu/graduates/ph-d-requirements/,,
"University of North Carolina, Chapel Hill",MS,Mathematics,文理学院,,https://gradschool.sites.unc.edu/mathematics/,https://math.unc.edu/graduates/masters-requirements/,,
"University of North Carolina, Chapel Hill",MA,Mathematics,文理学院,,https://gradschool.sites.unc.edu/mathematics/,https://math.unc.edu/graduates/masters-requirements/,,
Georgetown University,PHD,PhD program in Applied Mathematics,文理研究生院,,https://grad.georgetown.edu/mathematics-and-statistics/#admissions-requirements,https://mathstat.georgetown.edu/phd-program/,,
Georgetown University,M.S.,Mathematics & Statistics ,文理研究生院,,https://grad.georgetown.edu/mathematics-and-statistics/,https://mathstat.georgetown.edu/graduate/,,
Georgetown University,M.S.,Mathematics & Statistics ,文理研究生院,,https://grad.georgetown.edu/mathematics-and-statistics/,https://mathstat.georgetown.edu/graduate/,,
Emory University,PhD,Mathematics,研究生院,,https://math.emory.edu/graduate/admissions/,https://math.emory.edu/graduate/general-information/,,
Emory University,MS,Mathematics,研究生院,,https://math.emory.edu/graduate/admissions/,https://math.emory.edu/graduate/general-information/,,
University of Virginia,PHD,MATHEMATICS,文理研究生院,,https://graduate.as.virginia.edu/requirements,https://math.virginia.edu/graduate/,,
Carnegie Mellon University,Ph.D.,Pure and Applied Logic,人文与社会科学学院,,https://www.cmu.edu/dietrich/philosophy/graduate/graduate-application/index.html,https://www.cmu.edu/dietrich/philosophy/graduate/index.html,,
Carnegie Mellon University,Ph.D.,"Doctor of Philosophy in Algorithms, Combinatorics, and Optimization (ACO)",科学学院,,https://www.cmu.edu/math/grad/phd/admissions.html,https://www.cmu.edu/math/grad/phd/index.html,,
Carnegie Mellon University,Ph.D.,Doctor of Philosophy in Mathematical Sciences,科学学院,,https://www.cmu.edu/math/grad/phd/admissions.html,https://www.cmu.edu/math/grad/phd/index.html,,
Carnegie Mellon University,DAM,Doctor of Arts in Mathematical Sciences,科学学院,,https://www.cmu.edu/math/grad/phd/admissions.html,https://www.cmu.edu/math/grad/phd/index.html,,
Washington University in St. Louis,MS,Systems Science & Mathematics,工程学院,,https://engineering.wustl.edu/academics/graduate-admissions/application-checklist.html,https://ese.wustl.edu/academics/graduate-programs/masters-and-certificates/MS-in-Systems-Science-Mathematics.html,,
Washington University in St. Louis,MS,Systems Science & Mathematics,工程学院,,https://engineering.wustl.edu/academics/graduate-admissions/application-checklist.html,https://ese.wustl.edu/academics/graduate-programs/masters-and-certificates/MS-in-Systems-Science-Mathematics.html,,
Washington University in St. Louis,PHD,Project Management,工程学院,,https://engineering.wustl.edu/academics/graduate-admissions/application-checklist.html,https://ese.wustl.edu/academics/graduate-programs/doctoral/PhD-in-Systems-Science-Mathematics.html,,
Washington University in St. Louis,DSc,Project Management,工程学院,,https://engineering.wustl.edu/academics/graduate-admissions/application-checklist.html,https://ese.wustl.edu/academics/graduate-programs/doctoral/DSc-in-Systems-Science-Mathematics.html,,
Washington University in St. Louis,PHD,Mathematics ,文理学院,,https://math.wustl.edu/graduate-application-information,https://math.wustl.edu/graduate-degree-programs-requirements,,
Washington University in St. Louis,MA,Mathematics ,文理学院,,https://math.wustl.edu/graduate-application-information,https://math.wustl.edu/graduate-degree-programs-requirements,,
University of Florida,MS,Mathematics,文理学院,,https://math.ufl.edu/graduate-studies-in-mathematics/admission-to-the-mathematics-graduate-program/,https://math.ufl.edu/graduate-studies-in-mathematics/,,
University of Florida,PHD,Mathematics,文理学院,,https://math.ufl.edu/graduate-studies-in-mathematics/admission-to-the-mathematics-graduate-program/,https://math.ufl.edu/graduate-studies-in-mathematics/,,
University of Florida,MS,Applied Mathematics,文理学院,,https://math.ufl.edu/graduate-studies-in-mathematics/admission-to-the-mathematics-graduate-program/,https://math.ufl.edu/graduate-studies-in-mathematics/,,
"University of California, Davis",MS,Applied Mathematics,文学与科学学院,,https://www.math.ucdavis.edu/grad/apply,https://appliedmath.ucdavis.edu/graduate,,
"University of California, Davis",PHD,Applied Mathematics,文学与科学学院,,https://www.math.ucdavis.edu/grad/apply,https://appliedmath.ucdavis.edu/graduate,,
"University of California, Davis",MA,Mathematics,文学与科学学院,,https://www.math.ucdavis.edu/grad/apply,https://www.math.ucdavis.edu/grad/gpc,,
"University of California, Davis",PHD,Mathematics,文学与科学学院,,https://www.math.ucdavis.edu/grad/apply,https://www.math.ucdavis.edu/grad/gpc,,
"University of California, San Diego",Ph.D,"Computational Science, Mathematics and Engineering",物理科学部,,https://csme.ucsd.edu/admission/index.html,https://csme.ucsd.edu/csme-phd/index.html,,
"University of California, San Diego",Ph.D,Ph.D. in Mathematics with a Specialization in Computational Science,物理科学部,,https://math.ucsd.edu/students/graduate/how-to-apply,https://math.ucsd.edu/students/graduate/phd-mathematics,,
"University of California, San Diego",Ph.D,Pure Mathematics,物理科学部,,https://math.ucsd.edu/students/graduate/how-to-apply,https://math.ucsd.edu/students/graduate/phd-mathematics,,
"University of California, San Diego",Ph.D,Applied Mathematics,物理科学部,,https://math.ucsd.edu/students/graduate/how-to-apply,https://math.ucsd.edu/students/graduate/phd-mathematics,,
"University of California, San Diego",MA,M.A. in Applied Mathematics,物理科学部,,https://math.ucsd.edu/students/graduate/how-to-apply,https://math.ucsd.edu/students/graduate/ma-applied-mathematics,,
"University of California, San Diego",MA,M.A. in Pure Mathematics,物理科学部,,https://math.ucsd.edu/students/graduate/how-to-apply,https://math.ucsd.edu/students/graduate/ma-pure-mathematics,,
University of Southern California,M.A.,Applied Mathematics,文理学院,,https://dornsife.usc.edu/mathematics/admissions/,https://dornsife.usc.edu/mathematics/degree-requirements/,,
University of Southern California,M.S.,Applied Mathematics,文理学院,,https://dornsife.usc.edu/mathematics/admissions/,https://dornsife.usc.edu/mathematics/degree-requirements/,,
University of Southern California,M.A.,Mathematics,文理学院,,https://dornsife.usc.edu/mathematics/admissions/,https://dornsife.usc.edu/mathematics/degree-requirements/,,
University of Southern California,M.A.,Applied Mathematics,文理学院,,https://dornsife.usc.edu/mathematics/admissions/,https://dornsife.usc.edu/mathematics/degree-requirements/,,
University of Southern California,M.S.,Applied Mathematics,文理学院,,https://dornsife.usc.edu/mathematics/admissions/,https://dornsife.usc.edu/mathematics/degree-requirements/,,
University of Southern California,M.A.,Mathematics,文理学院,,https://dornsife.usc.edu/mathematics/admissions/,https://dornsife.usc.edu/mathematics/degree-requirements/,,
University of Southern California,PhD,Applied Mathematics,文理学院,,https://dornsife.usc.edu/mathematics/admissions/,https://dornsife.usc.edu/mathematics/degree-requirements/,,
University of Southern California,PhD,Mathematics,文理学院,,https://dornsife.usc.edu/mathematics/admissions/,https://dornsife.usc.edu/mathematics/degree-requirements/,,
"University of Texas, Austin",PHD,Mathematics,自然科学学院,,https://www.ma.utexas.edu/academics/graduate/admissions,https://www.ma.utexas.edu/academics/graduate/,,
"University of Texas, Austin",MA,Mathematics- Actuarial program,自然科学学院,,https://www.ma.utexas.edu/academics/graduate/admissions,https://www.ma.utexas.edu/academics/graduate/,,
"University of Texas, Austin",MSCSEM,"Computational Science, Engineering, and Mathematics",计算工程与科学研究所,,https://www.oden.utexas.edu/academics/prospective-students/how-to-apply/,https://www.oden.utexas.edu/academics/masters-program/,,
"University of Texas, Austin",Ph.D.,"Computational Science, Engineering, and Mathematics",计算工程与科学研究所,,https://www.oden.utexas.edu/academics/prospective-students/how-to-apply/,https://www.oden.utexas.edu/academics/phd-program/,,
"University of California, Irvine",MS,Mathematics M.S.,物理科学学院,,https://www.math.uci.edu/admission,https://www.math.uci.edu/graduate,,
